sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C27-S,S,h0.12_otsu_d1.0,0.12,otsu,1.0,2210,4.457752488928697,0.610501479640022,0.8361999609566797,1.4968231043852291,0.5070472901570048,0.7711354059522397
C01-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2139,4.604866200354616,0.6100522650646604,0.846631629240325,1.5557093460057476,0.49820491772342995,0.8086307027254559
C01-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2885,3.8046192932688725,0.6953376288481193,0.8737373737373738,1.5091572195315746,0.48507463390700484,0.8167883170613187
C01-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4760,3.3522038117053645,0.8343057617490757,0.9133634222919937,1.3770290155065061,0.47596618357487924,0.8696962817890278
C02-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C02-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C02-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C03-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1835,4.956775675920353,0.5890062275479779,0.8541882109617372,1.5770890780269389,0.509663722826087,0.8142859226602439
C03-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2610,3.9277778726851933,0.6775800528375462,0.870858020627606,1.4985914926883477,0.4961664024758454,0.8176859812109321
C03-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4742,3.4363726552102856,0.8134914888334717,0.9060402684563759,1.3733384524210601,0.48497980827294684,0.8663651620879779
C04-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1821,5.039341360248559,0.607158574042824,0.8506787330316741,1.555688952660014,0.5020738979468599,0.8118753544036718
