sample_id,precursor,Lbar_um,Lbar_sd,n_img,cv,Theta
C19-M,M,1.0380948809159145,0.247471866832807,3,0.2383904124586973,24.21446407057823
C19-S,S,0.9507173070872256,0.0727669081022678,3,0.0765389538612782,24.21446407057823
C21-L,L,0.9967493458516646,0.0555384832064365,3,0.0557196083825689,47.33688099936123
C21-M,M,1.115278703088366,0.3683244715067821,3,0.3302532994549605,47.33688099936123
C21-S,S,0.8547103395633835,0.1759669261307398,3,0.2058790188739614,47.33688099936123
C24-L,L,0.5433789716938747,0.0356244546922387,3,0.0655609741046597,46.68165271428408
C24-M,M,0.6146380049895286,0.0559415102333767,3,0.0910153777983998,46.68165271428408
C24-S,S,0.5976030826183214,0.0163823365358187,3,0.0274134070126305,46.68165271428408
C25-L,L,0.4712431184660423,0.0502260446809936,3,0.1065820225544852,23.39542871423181
C25-M,M,0.4640684768196668,0.0072888428821082,3,0.0157063951683592,23.39542871423181
C25-S,S,0.6962568431041772,0.1214748386825665,3,0.1744684305593114,23.39542871423181
C26-L,L,1.665812301979411,0.7252354611095854,3,0.435364452674422,34.956637178623296
C26-M,M,0.9284262157036594,0.157013719542523,3,0.1691181451867141,34.956637178623296
C26-S,S,1.0507353580006669,0.1401643395088156,3,0.1333964241724191,34.956637178623296
C27-L,L,0.5459214734082022,0.0171922548348236,3,0.0314921754725858,46.5178456430148
C27-M,M,0.487771129904141,0.0455703780845523,3,0.0934257386112787,46.5178456430148
C27-S,S,0.7492368166924946,0.0285802931930954,3,0.0381458739831594,46.5178456430148
C02-L,L,0.4601047838324262,0.030295300503269618,3,0.06584435017372783,6.181622071984794
C02-M,M,0.4043155944306413,0.008464383326113985,3,0.020935089921608294,6.181622071984794
C02-S,S,0.6220557859305664,0.14219651164539182,3,0.2285912531665829,6.181622071984794
C05-L,L,0.4265341523742112,0.013390003322160273,3,0.03139257020247425,6.085062465360228
C05-M,M,0.48948436438333925,0.03737237649243115,3,0.07635050108191609,6.085062465360228
C05-S,S,0.6267154550600561,0.01470522901898584,3,0.023463964228513694,6.085062465360228
C06-L,L,0.4061868874845798,0.04801211287111814,3,0.11820202559576923,8.091958930119292
C06-M,M,0.403009276207654,0.021456951318279044,3,0.053241829866028115,8.091958930119292
C06-S,S,0.6547125376514127,0.038011212525355983,3,0.058057865611845394,8.091958930119292
C08-L,L,0.4389437362880903,0.013649406287693318,3,0.031096027028700676,6.060922563704088
C08-M,M,0.5103327911972665,0.010350332574640703,3,0.020281535408215295,6.060922563704088
C08-S,S,0.591673272178164,0.06895713959375495,3,0.1165459770388118,6.060922563704088
C10-L,L,0.46211318063123025,0.017560733486048676,3,0.03800093618204384,10.435966857121558
C10-M,M,0.485989312160811,0.03321674807466006,3,0.06834872134733044,10.435966857121558
C10-S,S,0.5813985529594238,0.04918701431284647,3,0.08460119837325991,10.435966857121558
C11-L,L,0.4900697027652732,0.06910600765639403,3,0.14101260956646708,15.435966857121558
C11-M,M,0.5644696160713677,0.16746770959793056,3,0.29668153046657003,15.435966857121558
C11-S,S,0.668466557842773,0.0887204154772626,3,0.132722294685279,15.435966857121558
C13-L,L,0.5389812987006256,0.057587558021416047,3,0.1068451876906452,10.174386742848624
C13-M,M,0.47306409203869154,0.01136402152453447,3,0.024022160455173622,10.174386742848624
C13-S,S,0.7052296057894155,0.1237838357151579,3,0.1755227442225678,10.174386742848624
C20-L,L,1.7051583865480724,0.402417910974718,3,0.2360003118474959,35.77567253496972
C20-M,M,1.1675897467277794,0.0453073446173342,3,0.038804164514385286,35.77567253496972
C20-S,S,1.1541702197130796,0.13147888373077346,3,0.11391637167995756,35.77567253496972
C22-L,L,0.9533336732601702,0.16349588356232309,3,0.1714991174110181,23.55923578550109
C22-M,M,1.1950566197420123,0.2533784248767037,3,0.21202210898710624,23.55923578550109
C22-S,S,0.7707774902085428,0.06279281939861898,3,0.08146685677293151,23.55923578550109
C23-L,L,1.117646386148282,0.1984269564503487,3,0.17754001525847793,35.12044424989258
C23-M,M,1.1145526676719761,0.14229535486087744,3,0.1276703730458042,35.12044424989258
C23-S,S,1.0027977169146394,0.2523450371108675,3,0.2516410167818,35.12044424989258
