sample_id,precursor,d_um,D_f,solidity,elongation,roughness_ratio,n_scales,seg_config_hash
C01-L,L,10.555585862550599,1.0348266133960937,0.7962794918330308,0.33866945747079125,1.3249090354521245,8,4127c40a82c2
C01-L,L,16.435902813920105,1.0846164280693913,0.5699169568711492,0.34326907899386183,2.146697710963294,8,4127c40a82c2
C01-L,L,11.137970469114702,1.0602956597189002,0.7620904836193447,0.38810237114186685,1.4950573741512687,8,4127c40a82c2
C01-L,L,13.710806006839647,1.0652324869023062,0.7938337801608579,0.35836536341599023,1.497373763173481,8,4127c40a82c2
C01-L,L,8.098301530182193,1.0560448080249127,0.7849544072948328,0.46159953738163195,1.1236750822697605,7,4127c40a82c2
C01-L,L,8.261292793200587,1.0579125488909469,0.9291270527225584,0.2639159389261311,1.0449376636088763,6,4127c40a82c2
C01-L,L,11.346913854423892,1.0732531874917575,0.6440139726897428,0.3998362575936557,1.56274130417729,8,4127c40a82c2
C01-L,L,11.911941341184157,1.0560980102564776,0.8165875045670442,0.18175230647998486,1.376706029251269,7,4127c40a82c2
C01-L,L,6.125443280890184,,0.8503597122302158,0.3334443259930626,1.1076834977403425,0,4127c40a82c2
C01-L,L,16.304041151811347,1.038729831350297,0.5283280757097791,0.5903840895596418,1.5934181435943657,8,4127c40a82c2
C01-L,L,7.871702845132862,1.075306720219593,0.7648902821316614,0.5870856917447302,1.225356545040595,7,4127c40a82c2
C01-L,L,9.447925122907568,1.0802176139398292,0.6855192588980985,0.4692977888942452,1.31200594150729,8,4127c40a82c2
C01-L,L,13.929016644280894,1.0452791092638238,0.6732760519938312,0.4444647691872572,1.4045514908775119,8,4127c40a82c2
C01-L,L,11.191990298189324,1.068114983835828,0.5181197478991597,0.4543430222609186,1.6296309805588238,8,4127c40a82c2
C01-L,L,9.178659175631722,1.0769102452265407,0.8081607795371498,0.5105836439299438,1.201928980901016,8,4127c40a82c2
C01-L,L,12.356666422926725,1.0374690373823876,0.9271395528141866,0.20610969461299156,1.0955905863943436,7,4127c40a82c2
C01-L,L,11.072225426422966,1.0597338817448314,0.8956400742115028,0.1330548871949767,1.150957513648271,7,4127c40a82c2
C01-L,L,5.935950544465699,,0.9519725557461407,0.32525865297479595,1.0,0,4127c40a82c2
C01-L,L,8.261292793200587,1.0813645451131053,0.8199847444698704,0.4628717069140633,1.2304133287759216,7,4127c40a82c2
C01-L,L,6.633006145813993,1.0373982412024796,0.8230403800475059,0.48907030559310805,1.0776377970933761,7,4127c40a82c2
C01-L,L,9.524888419578044,1.0598498159795122,0.8920099875156055,0.14875641524452676,1.3179206709793143,7,4127c40a82c2
C01-L,L,9.926351294359565,1.0545121294224218,0.6268174474959612,0.6206072361393844,1.2553387649366976,8,4127c40a82c2
C01-L,L,7.311387941523849,1.0374644038555156,0.9314159292035398,0.25852850241713676,1.0273926848292394,5,4127c40a82c2
C01-L,L,7.263472461190293,1.0325303805329011,0.8470948012232415,0.3538238285705111,1.0429616339161398,6,4127c40a82c2
C01-L,L,5.261226840402518,,0.9336188436830836,0.3582448421299619,1.010080179617112,0,4127c40a82c2
C01-L,L,14.004020457983696,1.0560624130035816,0.8780557134735645,0.29171332514101345,1.2970499653195624,8,4127c40a82c2
C01-L,L,6.458422718384586,1.054514099987765,0.8830645161290323,0.41725503564746746,1.083637840964975,6,4127c40a82c2
C01-L,L,9.457999330627823,1.0809810503345612,0.7657608695652174,0.2136356307805034,1.283538462597669,7,4127c40a82c2
C01-L,L,9.209732400709232,1.0492125867726765,0.6643460964694182,0.5014944618773436,1.4674560389664941,8,4127c40a82c2
