sample_id,xrd_instrument,two_theta_offset_applied,zero_offset_hits,hydrate_index,resolution_ratio,D_XRD_reliable,D_XRD,D_XRD_003,D_XRD_104,D_XRD_n_peaks,D_XRD_WH,microstrain_WH,wh_r2,wh_n_peaks,lattice_a,lattice_c,c_a_ratio,zero_shift
C13-L,2,0.14000000000000146,5,17.154438382317956,2.137513221327665,True,47.310523233041394,42.47257652673457,52.14846993934821,2,35.448205721195755,0.0,0.013214511632144488,7,2.981996671453985,16.025064074364877,5.373937612932094,-0.030586382126576953
C13-M,2,0.36000000000000165,5,3.277934505985706,1.9888438353332756,True,51.72183270443053,45.844401813542305,57.59926359531876,2,55.04845009995598,0.00013579254443970572,0.05175658723307408,7,2.9780972136065387,15.98095748209237,5.366163807238211,-0.114190141969953
C13-S,2,0.22000000000000153,5,0.0,1.5598562012691954,True,67.37416416709587,67.03578873874689,67.71253959544484,2,89.21931140553936,0.0004004272267847302,0.5179045672150236,7,2.98025989942075,15.986665836238517,5.3641851300773205,-0.10120951835072166
C14-L,1,0.04000000000000137,5,0.6942422070975074,1.9600961288791328,True,61.14925233381459,55.29442794943003,67.00407671819914,2,75.23686067670126,0.00030382516157409793,0.18932156108314646,7,2.983344727264889,15.99382497124368,5.361038174729044,-0.08279445746581685
C14-M,1,0.02000000000000135,5,1.0062769719436144,2.0157910910601116,True,58.39167015024934,52.243365491605736,64.53997480889295,2,68.48746659128958,0.00025055396483577,0.13758930200393227,7,2.9823662050857567,16.00070699071443,5.365104715654574,-0.07513166953881094
C14-S,1,0.03000000000000136,5,0.0,1.849196428544853,True,65.35184172332542,58.08641394546365,72.6172695011872,2,82.52667175611383,0.0003232259241791712,0.18741090948425498,7,2.9828573721059968,15.991314571488898,5.3610724807128465,-0.08900053243463034
C15-L,1,0.02000000000000135,5,0.5324142822314322,1.9905039480068387,True,58.93161584589137,52.22930903526538,65.63392265651736,2,65.76890306728707,0.00031094109020889717,0.18148676306773448,7,2.9827947483959,15.997413127083675,5.363229614001041,-0.07641548590754894
C15-M,1,0.02000000000000135,5,0.0,1.9508902949026006,True,60.91744638730755,54.400900094092286,67.43399268052282,2,75.83684358344307,0.00036105927567699604,0.2318746386289693,7,2.98253237683394,15.99828887863141,5.363995040890098,-0.08342262544454579
C15-S,1,0.02000000000000135,5,0.8574080251048036,1.792879768284056,True,69.51335331914211,63.11888717923822,75.907819459046,2,87.51046018119449,0.00030099922240389856,0.2213071522307254,7,2.98236455123845,15.993600214151003,5.362724757276751,-0.08729564121537531
C16-L,1,0.03000000000000136,5,0.0,2.0610746431176143,True,56.17777960810484,49.68230532790251,62.67325388830717,2,65.24632127311993,0.00021585731002098216,0.09194121541578615,7,2.985113476446922,15.987075228006042,5.355600500331702,-0.07692581921874943
C16-M,1,0.03000000000000136,5,0.0,2.08666834727226,True,53.719057063947595,45.76470023982183,61.67341388807336,2,58.42497658344173,6.568398303592428e-05,0.007488532696480088,7,2.984582902315495,15.989416592679925,5.3573370604901065,-0.07669807481518273
C16-S,1,0.010000000000001341,5,0.0,1.9048606203138798,True,61.33196148001568,52.992195982375144,69.6717269776562,2,71.45520587379879,0.00013732276937726123,0.03292157034736232,7,2.9843192297534764,15.986217406351004,5.356738396807357,-0.06889194781697178
C17-L,1,0.04000000000000137,5,0.4422193281963273,1.649182421684667,True,74.97308575012147,63.80920105632072,86.13697044392224,2,87.51465115766024,0.0002019368776144434,0.11634495373270304,7,2.9828318185328953,15.988216601630386,5.3600798081516325,-0.08023639759392037
C17-M,1,0.04000000000000137,5,0.0,1.695200437458244,True,73.33313393096773,64.14515436228423,82.52111349965124,2,87.90171303926898,0.00025796418842508165,0.17886848389979693,7,2.982245134250375,15.992205725823437,5.362471898153765,-0.08964757390498182
C17-S,1,0.03000000000000136,5,0.13297813547351145,1.70844214794181,True,71.74829598452918,61.94783428461686,81.5487576844415,2,86.59533747209,0.0001906975455739706,0.07606044720512495,7,2.9824967265290265,15.99327305740069,5.362377405192783,-0.07247019427712478
C18-L,1,0.02000000000000135,5,0.23973786487298435,1.5985454956551124,True,79.22248543008467,67.86671847039621,90.57825238977316,2,91.54521164666828,0.00028204866774227187,0.21571342115209358,7,2.9813028392910073,15.996027442783662,5.3654486997998925,-0.08786117139092096
C18-M,1,0.02000000000000135,5,0.3319097418698689,1.629719081712926,True,76.23265690898472,64.68049554713151,87.78481827083792,2,84.93559389203314,0.00021074099826207275,0.12670703689340546,7,2.981748011667554,15.994451850695732,5.364119230769864,-0.07765954562037865
C18-S,1,0.02000000000000135,5,0.0,1.5951672798807364,True,81.0888618858873,71.27931407946151,90.8984096923131,2,107.55234265854216,0.00037821560601770926,0.3285758454118374,7,2.9803219185436802,16.002153405167395,5.369270113272451,-0.07872917430498702
C19-L,1,0.0700000000000014,5,0.3363751674254112,1.5060655845967015,True,88.89151542137708,77.47686940272547,100.30616144002867,2,208.13908172696682,0.000942223631939915,0.4947995712209161,7,2.9793512568857357,16.01019982286641,5.373720129798189,-0.1026681496392266
C19-M,1,0.03000000000000136,5,0.5767908521908358,1.5154359023541042,True,86.16270960671758,73.11850387151665,99.20691534191853,2,139.4142428792882,0.0007842297163567649,0.38033579162625397,7,2.980387013157676,16.00410040322267,5.369806113289481,-0.09298872160979965
C19-S,1,0.04000000000000137,5,0.406824039602339,1.523372809585568,True,86.12093455068668,73.94039146827258,98.3014776331008,2,107.38109188794742,0.00039166436505583724,0.2956876799178998,7,2.9799984117690346,16.006014228146594,5.37114857676882,-0.08265676243902381
C20-L,2,0.060000000000001386,5,3.332096481468777,1.5141890304081667,True,73.8315685278345,70.58924154611454,77.07389550955448,2,156.67509405198018,0.0011384214500872408,0.5762510902741999,7,2.9824286930218213,16.01488978562473,5.369747757287807,-0.03527764849657717
C20-M,2,0.05000000000000138,5,0.0,1.0793507314516033,False,,,,2,365.9677831533087,0.00044834621594181106,0.17963812795502754,7,2.9825987762905024,15.995374775841828,5.362898591320247,-0.06460818465712778
C20-S,2,0.9200000000000021,5,0.7722013718790237,2.3092907178542452,True,35.30357230479913,38.53333184715227,32.073812762446,2,30.551971234977042,0.0,0.1690644966340934,7,2.981614078509631,16.022241457912493,5.373680508619432,-0.056308261860447295
C21-L,1,0.010000000000001341,5,0.31935587821839,1.444326362128493,True,96.1417883771721,83.88802784535,108.3955489089942,2,150.4740362513886,0.00046626804571894847,0.3553424237169408,7,2.981559745505768,15.99257128064115,5.363827206463809,-0.08463084911568478
C21-M,1,0.02000000000000135,5,0.8543968039688662,1.4925309164460503,True,89.77657726288247,77.5995490512265,101.95360547453843,2,121.25208736859668,0.0004705775042619736,0.4031056306067562,7,2.9821352676401247,15.995825302085661,5.363883213367366,-0.07702407053101987
C21-S,1,0.02000000000000135,5,0.4739532200138516,1.520116841661538,True,86.15213448994812,73.63929061038466,98.66497836951159,2,109.14494810494428,0.0003505411902330525,0.24236982892533543,7,2.9822651390200514,15.99316970348477,5.362759163908545,-0.0853999926203649
C22-L,2,0.04000000000000137,5,0.0,1.367765477672252,True,88.07459352068766,86.01426261594551,90.1349244254298,2,167.91467256975073,0.0008000303325389284,0.6119745291596268,7,2.982100480263902,16.00096151422408,5.36566813228509,-0.06032622499136636
C22-M,2,0.02000000000000135,5,0.0,1.258404982823022,False,,,,2,297.1988782819214,0.0009056556705689819,0.4912344472771737,7,2.9809800894107172,15.996131131672302,5.36606439891869,-0.07967997566349505
C22-S,2,0.0700000000000014,5,0.0,1.3181616284743967,True,94.22607832864671,93.45459789451843,94.99755876277499,2,164.93748006286964,0.0006673000538543372,0.48966448171918675,7,2.981560382603807,16.002451499440266,5.3671398348355,-0.07287851704944139
C23-L,2,0.0800000000000014,5,3.336740728668864,1.6556437280298062,True,65.8472488260307,60.82055263189479,70.8739450201666,2,82.16009137397442,0.0005322261948641999,0.3637521416369224,7,2.9829435968856735,16.017925456163628,5.369838528923932,-0.03674841605890991
C23-M,2,0.10000000000000142,5,0.6617175180972719,1.4215120702400974,True,83.14717058741802,68.2797277533059,98.01461342153013,2,103.74963637307525,0.0003915151033224235,0.16114663348602243,7,2.9816960592605524,16.004165756473228,5.36747053971765,-0.05724762074501655
C23-S,2,0.09000000000000141,5,9.732570579401921,1.5781731754269142,True,65.95470616079433,65.72880981133939,66.18060251024929,2,50.76661245743264,0.0,0.00018793444806608495,7,2.981599786870957,16.03005863586145,5.376328072750573,-0.025285952649895523
C24-L,1,0.03000000000000136,5,0.25070928314856233,1.6320925476354322,True,78.398811865349,69.22490409451505,87.57271963618295,2,90.28638372952958,0.000139952663208046,0.08281924841104138,7,2.98472893846164,15.975845982086227,5.352528256827349,-0.08033862672414284
C24-M,1,0.03000000000000136,5,0.0,1.674526511568373,True,74.24289184572605,64.38934955927935,84.09643413217275,2,81.75137601746144,8.15824295545079e-05,0.027370685885515056,7,2.9845703651552,15.978375362373097,5.353660127742443,-0.08375584195525157
C24-S,1,0.010000000000001341,5,0.0,1.634507702248605,True,76.31454779911329,65.26159397548842,87.36750162273815,2,82.33771260715204,5.8758067072251963e-05,0.012308559263845664,7,2.9834021559876667,15.979632969133071,5.356177991982094,-0.08396803075072085
C25-L,1,0.010000000000001341,5,0.8867987253928068,1.8800345783842496,True,64.66440026483657,58.375858432628306,70.95294209704484,2,79.52614929202211,0.0002657165065728624,0.17412583997790598,7,2.9847844218591786,15.983764336972486,5.355081666841598,-0.07000140926688196
C25-M,1,0.03000000000000136,5,0.317788172180597,1.8931446722939822,True,63.618150662800616,56.96897354497637,70.26732778062485,2,74.22799140549412,0.00017634244273932948,0.09090397853911136,7,2.984287727428112,15.98441804520543,5.356191997941484,-0.08644515617846664
C25-S,1,0.03000000000000136,5,0.0,1.7926482260351952,True,66.52566013864217,57.12885110048158,75.92246917680275,2,76.31390770921271,0.00012143990836059506,0.034866464251708584,7,2.9842464671775013,15.985548596420259,5.356644892517669,-0.06805492255168694
C26-L,1,0.03000000000000136,5,0.0,1.471068472069505,True,92.21019730274314,79.72216159654988,104.6982330089364,2,117.12460965253813,0.00021738375036818014,0.16414559942548512,7,2.982032305078609,15.98618514044149,5.36083566674174,-0.09264263859556006
C26-M,1,0.03000000000000136,5,0.359532758527414,1.460004684733301,True,94.8174700032029,83.44843680411421,106.18650320229159,2,116.89987975033732,0.00018643568724863312,0.16086865052198873,7,2.982023022874905,15.984687377879965,5.360350089607782,-0.0965912232483582
C26-S,1,0.02000000000000135,5,0.6510132769578792,1.4922252183349558,True,88.73256152812583,75.47422478339914,101.99089827285252,2,97.78430727545901,4.859993742464184e-05,0.011348842265519132,7,2.981257120922022,15.989460998890934,5.3633284048796925,-0.0903964546655458
C27-L,1,0.010000000000001341,5,0.19921872763670045,1.8120375820260513,True,67.33347971423304,59.91447041518736,74.75248901327872,2,78.59325611174148,0.00024085751621171527,0.08982516707028909,7,2.9841181834764434,15.983113562532576,5.35605917052271,-0.07400536979966918
C27-M,1,0.03000000000000136,5,0.0,1.874922203555877,True,62.79365392084625,54.368269355265376,71.21903848642714,2,71.4479196517629,9.274436519802032e-05,0.017972952708965706,7,2.9846362453511217,15.988059947072118,5.356786768228513,-0.07464292322742769
C27-S,1,0.010000000000001341,5,0.1788318243730487,1.784508489996137,True,67.17278938574142,57.919953998223626,76.42562477325922,2,79.6052993386125,0.00017493986822973096,0.0637205669190537,7,2.984208980142135,15.984711510071438,5.3564316763466415,-0.06984980008453041
