sample_id,condition_id,precursor,T_C,beta,t_hold,Theta,D_XRD,lattice_a,lattice_c,c0_a,c0_c,c0_c_a_ratio,c0_z_or_k,c0_resid_rms_deg,c1_a,c1_c,c1_c_a_ratio,c1_z_or_k,c1_resid_rms_deg,c2_a,c2_c,c2_c_a_ratio,c2_z_or_k,c2_resid_rms_deg
C15-S,C15,S,900.0,5.0,20.0,20.174386742848625,69.51335331914211,2.98236455123845,15.993600214151003,2.9823645505251806,15.993600209887019,5.36272475712958,-0.08729565426002815,0.002370257721913743,2.9863722350336817,16.022578515022246,5.365231543160773,0.0,0.028858197887431988,2.983077181407146,15.997335816445394,5.362695915530854,-0.08259572000860665,0.0027290018816964966
C16-L,C16,L,900.0,8.0,10.0,10.108991714280393,56.17777960810484,2.985113476446922,15.987075228006042,2.9851134771720753,15.987075229737647,5.355600499610783,-0.07692580928941245,0.004758012515621163,2.9886519112025014,16.012579580094496,5.35779343190614,0.0,0.02703696360119759,2.9857455965749766,15.990393655203487,5.355578075220631,-0.07269589925180411,0.005142980421757013
C16-M,C16,M,900.0,8.0,10.0,10.108991714280393,53.7190570639476,2.984582902315495,15.989416592679923,2.984582902538774,15.989416596042016,5.357337061215806,-0.07669806826803269,0.007005118610016614,2.988109398625326,16.014854383453134,5.359527462689531,0.0,0.027997246911821875,2.9852134112419084,15.99272829882067,5.357314903716507,-0.07247181435014832,0.007351425710751159
C16-S,C16,S,900.0,8.0,10.0,10.108991714280393,61.33196148001568,2.9843192297534764,15.986217406351004,2.9843192309330524,15.986217414231852,5.356738397330816,-0.06889192476799741,0.007483050485450954,2.9874856722821512,16.00905245817781,5.358704346839072,0.0,0.025339102535819263,2.9848869372626083,15.989202085271046,5.356719507752774,-0.06506250394601962,0.0077139238396935405
C17-L,C17,L,900.0,8.0,15.0,15.10899171428039,74.97308575012147,2.982831818532896,15.988216601630386,2.98283181946191,15.988216608702153,5.360079808853038,-0.0802363771444276,0.0051663286607765676,2.9865163159659,16.014825669800587,5.3623767545435514,0.0,0.028379603719530085,2.9834931838773557,15.99169700783041,5.360058167469167,-0.07576114810719956,0.005618971215882033
C17-M,C17,M,900.0,8.0,15.0,15.10899171428039,73.33313393096773,2.982245134250375,15.992205725823435,2.982245134250375,15.992205725823437,5.362471898153765,-0.08964757390498182,0.0029109244944321277,2.9863605919880385,16.0219603122983,5.365045452073952,0.0,0.02948738686218953,2.982975782162164,15.996032883464432,5.36244141810295,-0.08484925781887082,0.0031891254395048215
C17-S,C17,S,900.0,8.0,15.0,15.10899171428039,71.74829598452918,2.9824967265290265,15.99327305740069,2.982496727305253,15.9932730630116,5.362377405678446,-0.07247017592654563,0.0066713788164574385,2.9858232367985904,16.017320881411887,5.364457173488177,0.0,0.02625854467107603,2.9830946351413377,15.996421965047281,5.362358195615667,-0.06841486622420342,0.0069649222584164
C18-L,C18,L,900.0,8.0,20.0,20.10899171428039,79.22248543008467,2.981302839291008,15.996027442783662,2.9813028392910073,15.996027442783662,5.3654486997998925,-0.08786117139092096,0.004843611059968125,2.9853333462939107,16.025203155514912,5.367977809047394,0.0,0.029933814294559456,2.9820236554378954,15.999816899303687,5.365422527794869,-0.08303523091809871,0.005224484862898627
C18-M,C18,M,900.0,8.0,20.0,20.10899171428039,76.23265690898472,2.981748011667554,15.994451850695732,2.981748012023077,15.994451854595463,5.364119231438151,-0.0776595371420653,0.005590049939971631,2.985311102110367,16.02022798799239,5.366351257886462,0.0,0.027633948415104394,2.982389572649256,15.997834186296055,5.36409942316328,-0.07328753263025184,0.006024903721112648
C18-S,C18,S,900.0,8.0,20.0,20.10899171428039,81.0888618858873,2.98032191854368,16.002153405167395,2.9803219185436802,16.002153405167395,5.369270113272451,-0.07872917430498702,0.003442480497661133,2.983930263928515,16.028308631371573,5.371542634602119,0.0,0.026677697796133923,2.9809699929674607,16.005568015539296,5.369248282706215,-0.07434820545218619,0.003849974772400762
C19-L,C19,L,950.0,2.0,10.0,24.21446407057823,88.89151542137708,2.979351256885736,16.01019982286641,2.979351255977182,16.01019981949016,5.373720130303688,-0.10266816142439925,0.006581520403695616,2.984055323874075,16.0443738219898,5.376701193716495,0.0,0.03483790310779678,2.9801863961577633,16.01458047036214,5.3736841732480585,-0.09719114196846751,0.00687586253657783
C19-M,C19,M,950.0,2.0,10.0,24.21446407057823,86.16270960671758,2.980387013157676,16.00410040322267,2.980387013157676,16.00410040322267,5.369806113289481,-0.09298872160979965,0.00850894833451533,2.9846502591170636,16.03501739404732,5.372494598007235,0.0,0.032955437943798856,2.981150504049298,16.00811928921599,5.369778972068722,-0.08785880605801143,0.008848721337045246
C19-S,C19,S,950.0,2.0,10.0,24.21446407057823,86.12093455068668,2.9799984117690346,16.006014228146594,2.9799984105797157,16.006014216951474,5.371148575155694,-0.08265679186545258,0.005345632235630271,2.9837860678458554,16.03349845431626,5.37354156422201,0.0,0.02815100339396514,2.9806777337026276,16.00959228935494,5.371124864769485,-0.07808154273560472,0.0056488703512503
C21-L,C21,L,950.0,2.0,20.0,47.33688099936123,96.1417883771721,2.981559745505768,15.99257128064115,2.9815597476531233,15.992571291587211,5.36382720627197,-0.08463080922171617,0.0062165811757532155,2.9854426120453676,16.020657958807007,5.366258890446745,0.0,0.028951355564600153,2.982256277309625,15.996237250140702,5.363803698510895,-0.07992894665134745,0.006466164961873674
C21-M,C21,M,950.0,2.0,20.0,47.33688099936123,89.77657726288247,2.9821352676401247,15.99582530208566,2.982135267231423,15.995825300246509,5.363883213485762,-0.07702407795493613,0.007210917137798336,2.9856702758036158,16.02139422170993,5.366096300569443,0.0,0.027648151002020675,2.9827723068041916,15.999185333729676,5.363864113004173,-0.07267148132219772,0.00754233774996316
