sample_id,precursor,condition,Theta,n,numD50,volD10,volD50,volD90,volD50_sd,laserD50,Span,disp_ratio
C14-L,L,C14,15.174386742848624,525,9.298916247612176,8.295802869237733,13.046445048963026,17.358318362092326,0.28347403737813737,2.34,0.6946348571463851,5.575403867078217
C11-L,L,C11,15.435966857121558,443,10.128950776573635,8.922623146638298,13.603888444209703,18.5670837844798,0.38846849575859305,3.0,0.7089488183760082,4.534629481403234
C18-L,L,C18,20.10899171428039,363,11.273942590428806,10.05345443882574,14.705036411162911,19.12959468946117,0.37686201137753444,4.21,0.6172130416314737,3.492882757995941
C15-L,L,C15,20.174386742848625,482,9.758642039901567,8.70654693981252,12.874999424474446,18.46937514558125,0.27094921397237687,3.1,0.7582779527904518,4.153225620798208
C12-L,L,C12,20.43596685712156,469,9.471414939258413,8.314913244410125,13.449000415665056,17.431314135608446,0.2810417422120875,3.81,0.6778496995642715,3.5299213689409594
C25-L,L,C25,23.39542871423181,362,11.292229526473392,10.110129544871077,14.951225609974143,21.091615285771645,0.3034770815919897,2.98,0.7344873274853593,5.017189802004746
C22-L,L,C22,23.55923578550109,265,12.522535138943129,11.499750484452685,17.545666670323982,23.851847340067128,0.6734769636621368,,0.7039970089313432,
C19-L,L,C19,24.21446407057823,318,11.764449720509845,10.956946643979611,15.985518400577051,23.148081656626736,0.6680528151035355,7.28,0.7626362002878209,2.195812967112232
C26-L,L,C26,34.956637178623296,379,11.12371112327434,9.980567913510788,14.631456664983585,19.220645154833225,0.3362702881203575,4.37,0.6315213483450387,3.3481594199047104
C23-L,L,C23,35.12044424989258,264,12.429594538251635,11.69409538371511,17.831009955714787,25.351192954995568,0.5616425324397449,,0.765918341428742,
C20-L,L,C20,35.77567253496972,362,11.327312601950807,10.194551451872224,14.885262434236775,22.67843589496147,0.36525501610546146,,0.8386741247084599,
C27-L,L,C27,46.5178456430148,355,11.44163562319878,10.312196692880509,14.681271553126331,21.35485936162646,0.47043462219338605,2.71,0.7521598268097187,5.417443377537392
C24-L,L,C24,46.68165271428408,383,10.919218997497024,9.9901050087719,14.598877117396762,20.87832635746563,0.41730380067709805,2.05,0.7458259468270183,7.1214034719008605
C21-L,L,C21,47.33688099936123,302,11.733324136711033,10.849223282548534,15.989489464705027,23.51812616040094,0.559725061702094,6.45,0.792326916116838,2.47899061468295
C07-M,M,C07,4.054026098945026,427,9.83962855641608,9.16481503626545,13.951787652852303,18.19927974793565,0.3585343694102242,2.34,0.6475488974219868,5.962302415748848
C04-M,M,C04,4.078166000601167,458,9.394011124107156,8.808042172317101,13.406447662226888,18.10484641089316,0.4375597270637845,2.33,0.6934576908669187,5.753840198380638
C01-M,M,C01,4.174725607225732,488,8.849368497770836,8.106137334173212,12.663695388565737,16.15342774215503,0.31165674994857523,2.32,0.6354614637405013,5.4584893916231625
C08-M,M,C08,6.060922563704088,580,8.195652056556362,7.839375386800315,12.39001780996302,17.51125804281991,0.2451884673904664,,0.7806189469915269,
C05-M,M,C05,6.085062465360228,431,9.846078657768498,9.261289431991374,13.582871352267064,18.340018075672823,0.28663960387104603,,0.6683953935974042,
C02-M,M,C02,6.181622071984794,414,9.647374794205135,8.818847380434981,13.5149272833677,17.82922961424405,0.29860837682913227,,0.6666985359882623,
C09-M,M,C09,8.06781902846315,390,10.007510655686733,8.836826700587649,13.116816043275612,16.439765086988086,0.18563160179868954,3.2,0.5796329201626726,4.0990050135236284
C06-M,M,C06,8.091958930119292,412,10.186763881077844,9.08130700770823,13.89250539761816,18.201023892819425,0.2655961732605909,,0.6564486839555053,
C03-M,M,C03,8.188518536743857,386,10.295226328041476,9.035751254020578,12.808257113652202,16.33904927284595,0.16007754177879072,2.68,0.5702023276094962,4.779200415541866
C16-M,M,C16,10.108991714280393,373,10.621540179072865,9.823484774326516,14.557505020605625,20.144763148145643,0.3835026187347052,3.13,0.7090005024356666,4.65096007048103
C13-M,M,C13,10.174386742848624,343,11.077957875901715,9.761894920942964,14.443670151664827,20.531837675397103,0.3769042062817299,3.17,0.745651392019137,4.556362823869031
C10-M,M,C10,10.435966857121558,373,10.769934351879687,9.77814038886464,14.423876761114832,18.52771950301895,0.35519818369637696,2.24,0.6066038457665004,6.439230696926264
C17-M,M,C17,15.10899171428039,323,11.834407962306,10.606586574334145,15.470860049708897,20.831140198860886,0.3701835365401307,3.8,0.6608910940745747,4.0712789604497095
C14-M,M,C14,15.174386742848624,480,9.256119809131679,8.69925196832654,13.5149272833677,18.61659837235077,0.3083398693892669,2.64,0.7338068637801053,5.1192906376392795
C11-M,M,C11,15.435966857121558,476,9.197559665162274,8.577989303878937,13.622543082310456,18.185320566784583,0.2731250364555714,2.46,0.7052524044046695,5.537619139150592
C18-M,M,C18,20.10899171428039,351,11.029137085152472,10.272101264538795,15.078076516655344,20.73032159332446,0.24459962798450596,3.15,0.6936044075140119,4.786690957668363
C15-M,M,C15,20.174386742848625,346,10.21321710946393,9.168278030923805,14.940606086217947,19.38345823378608,0.40267229080788136,3.35,0.6837192643935195,4.459882413796402
C12-M,M,C12,20.43596685712156,537,8.53346656741023,8.14130512330436,13.075610014678674,17.845246293276595,0.3289042409276459,3.04,0.7421406082835597,4.301187504828511
C25-M,M,C25,23.39542871423181,407,10.16024201817454,9.52822054786594,14.399647890932538,19.036441326958816,0.2520630243066898,2.89,0.6603092555534087,4.982577124890152
C22-M,M,C22,23.55923578550109,233,12.992805914875769,11.70223607066254,17.301534812134598,24.56905027007165,0.7122327225099595,,0.7436805080659575,
C19-M,M,C19,24.21446407057823,309,11.750961761236628,10.296793851284088,15.299609674712883,21.163733855924608,0.2904767947239239,4.5,0.7102756368093065,3.3999132610473075
C26-M,M,C26,34.956637178623296,303,12.13895642981765,10.956946643979611,15.833880000796276,20.38754594884136,0.34489195279602924,4.45,0.5955962344281686,3.5581752810778147
C23-M,M,C23,35.12044424989258,448,9.907145179054211,9.427744412524731,14.315632645994109,19.82710270368141,0.29140427340090447,,0.726433720976117,
C20-M,M,C20,35.77567253496972,338,11.568542485201583,10.704894351174934,15.646323126117451,19.759745207899165,0.37187622452757857,,0.5787206862428605,
C27-M,M,C27,46.5178456430148,335,11.318903656542409,10.501315138645635,15.18506664501724,22.24314128908372,0.6053304903310899,1.57,0.7732482461175759,9.67201697134856
C24-M,M,C24,46.68165271428408,363,10.9046736080676,9.836401919649074,14.476598996329738,20.91174871604059,0.3128315826324419,1.82,0.7650517085677001,7.954175272708647
C21-M,M,C21,47.33688099936123,473,9.049792833981646,8.876253014262797,14.40405617142489,21.004141638447283,0.542965478839202,6.12,0.8419773208219002,2.35360394957923
C07-S,S,C07,4.054026098945026,2944,3.9919090976696414,3.771097765009893,6.094270339197796,9.021687819420674,0.06728436602907165,1.71,0.8615617230892204,3.563900783156606
C04-S,S,C04,4.078166000601167,2580,4.136404293928801,3.9998532032338936,6.666422005389823,9.881478956712648,0.10915174409717283,1.55,0.882276241846592,4.300917422832144
C01-S,S,C01,4.174725607225732,2990,3.8625820108126097,3.6859604338129857,6.073399489064991,8.968753539965386,0.06817782004571489,1.85,0.8698247358277587,3.282918642737833
C08-S,S,C08,6.060922563704088,2905,3.935851422566431,3.771097765009893,6.140970411709458,8.79722369269011,0.08389434388452338,,0.8184579294009492,
C05-S,S,C05,6.085062465360228,3162,3.8912374721731418,3.6251748228320464,5.806187319199745,8.322545107645404,0.06602561074694466,,0.809028373797073,
