sample_id,condition_id,precursor,Theta,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol
C07-L,C07,L,4.054026098945026,494,5.5609693257007935,9.422688717681087,13.99426997283435,0.8949993892198725,8.611230291179448,12.654177890814806,16.542870475808492,0.6268001171681271,94,302
C07-M,C07,M,4.054026098945026,425,5.2648324606357555,9.887901758142648,15.208876378745035,1.0056778638521968,9.16481503626545,13.949118396805968,18.09991356676832,0.6405493362611936,76,238
C07-S,C07,S,4.054026098945026,2909,2.3230215853143203,4.0156942680121945,6.600382753170123,1.0651610611714064,3.7878956110204745,6.125443280890184,9.078742188888286,0.8637491745901722,409,1631
C08-L,C08,L,6.060922563704088,491,5.474125901660642,9.65398923433004,14.195387218158658,0.9033841974346521,8.677330256954411,13.181723273836564,18.027637850748768,0.7093387867087982,91,289
C08-M,C08,M,6.060922563704088,580,4.325470375307342,8.195652056556362,13.451813489101017,1.113559122668315,7.836084331207277,12.388075395536037,17.4332957740689,0.7747136771802272,92,313
C08-S,C08,S,6.060922563704088,2905,2.2816588429798004,3.935851422566431,6.6787906225810465,1.1171996367520474,3.771097765009893,6.137282684064867,8.796373357831646,0.8188111663602555,393,1588
C09-L,C09,L,8.06781902846315,496,6.0603181423348325,9.594620100662157,14.197605635274257,0.8481093995975769,8.486393893646614,12.67804339047197,15.743810346049846,0.5724397865570846,105,311
C09-M,C09,M,8.06781902846315,389,6.337358700162388,10.040816527558595,14.37930011331977,0.8009250434050869,8.839176632158408,13.11835203475828,16.399067711495032,0.5762835956304572,86,248
C09-S,C09,S,8.06781902846315,2600,2.2955292372589597,3.9998532032338936,7.046523706375597,1.1877922082929053,3.911580781529363,6.746885815775521,9.964918810675307,0.8972047540795892,309,1353
C10-L,C10,L,10.435966857121558,506,5.973264806463233,9.831558786066882,13.99835200689495,0.8162578666370519,8.621454319579852,12.625444466743868,15.659010143851704,0.5574105405009043,109,320
C10-M,C10,M,10.435966857121558,373,5.897244934774821,10.769934351879687,16.037444939449834,0.9415284878598386,9.730503228719451,14.409147985004857,18.52630926828943,0.6104320705654142,71,219
C10-S,C10,S,10.435966857121558,2859,2.377052565528869,3.967981355043056,6.694931424153823,1.0881802287546538,3.77950602018642,6.194539432381301,8.942391768539828,0.8334575644744414,394,1574
C11-L,C11,L,15.435966857121558,443,6.219033405690146,10.128950776573635,14.91378480871035,0.8584059291836559,8.891432273265275,13.569602138147133,18.46194193914271,0.7052903665445452,84,272
C11-M,C11,M,15.435966857121558,476,4.872811186335824,9.197559665162274,14.632497618482983,1.0611169470434707,8.565341501414807,13.621927648633525,18.180763500306114,0.7058782168657218,78,252
