sample_id,precursor,d_um
C07-S,S,5.083244354607721
C07-S,S,4.246224505961664
C07-S,S,7.537985540559736
C07-S,S,2.8838949080235423
C07-S,S,3.8129536281046623
C07-S,S,3.9439084451697126
C07-S,S,3.408547317463651
C07-S,S,3.054938345421817
C07-S,S,7.108865808043678
C07-S,S,5.427536748869573
C07-S,S,4.9695673763539245
C07-S,S,6.414034407382075
C07-S,S,5.3746412466382045
C07-S,S,6.51226423345496
C07-S,S,2.015736544099424
C07-S,S,3.427122644743577
C07-S,S,6.384270746052712
C07-S,S,4.400415665098895
C07-S,S,4.686858389531491
C07-S,S,2.6902721021035894
