sample_id,precursor,n_img_500x,D_sec_old,aspect_ratio_old,circularity_old,convexity_old,n_sec_old,img_h_old,D_sec_new,aspect_ratio_new,circularity_new,convexity_new,n_sec_new,img_h_new
C12-M,M,3,15.5241161798381,1.5647121694897526,0.2212063627327127,0.730869130869131,67,766,9.951901790408506,1.6271656516547968,0.303205082664464,0.7321906802356721,483,690
C12-S,S,3,38.37186285274123,2.358076573508104,0.049495239827625,0.6595083936366567,11,766,5.935950544465699,1.652929996253074,0.4576835181200416,0.7785714285714287,1485,690
C14-L,L,3,16.331276175701543,1.7440281655609449,0.19787295144661,0.7206397519094929,71,766,9.23726465519751,1.5364951346360831,0.4305966451909342,0.8186318602696732,624,690
C14-M,M,3,16.453129300019917,1.802414220934741,0.1644079880296716,0.7150487358643255,54,766,10.90612115496102,1.6725385968765836,0.2897589592592365,0.7277938031451696,422,690
C14-S,S,3,39.714198490483625,3.958694645806774,0.0794996522546714,0.7625969977296602,9,766,4.988693427963836,1.6133860036156369,0.5196290256510749,0.8045267489711934,1831,690
C15-L,L,3,13.947236425312235,1.4308473595981726,0.3462190741175527,0.8061929776057506,105,766,9.353287294078466,1.5090536932102032,0.4961627174546384,0.8468306163002456,612,690
C15-M,M,3,15.468808075424429,1.639378721391094,0.2336386244669331,0.7341104024631625,95,766,10.591611433566612,1.62173796487802,0.3385617245048992,0.7687796671273208,398,690
C15-S,S,3,39.92465699576272,3.383721997680027,0.0736360768582396,0.6581506706718615,9,766,5.734673045773384,1.6753610615586645,0.472002185203632,0.7827260458839406,1369,690
C16-L,L,3,14.590176951476623,1.568923229526182,0.3601255686815678,0.7973886686873397,105,766,9.578062793448122,1.525043686205046,0.4881748068928074,0.8466531187790312,586,690
C16-M,M,3,17.270316181191884,1.7890448455341843,0.1936632235179244,0.7136571629707849,83,766,10.594608070528247,1.5903641044796082,0.3211107825689752,0.7585393401596097,444,690
C16-S,S,3,38.86066669958264,3.979372206909408,0.0787611046933143,0.7352727749494317,10,766,5.983886320495039,1.654448534424421,0.4391242795687695,0.7764471057884231,1142,690
C17-L,L,3,15.499557947715086,1.67386109230951,0.2948082829912206,0.7750962991619024,112,766,10.3766389598595,1.536657100413166,0.4691613586529663,0.8361581920903954,545,690
C17-M,M,3,19.822299044567018,1.7202121732799598,0.1538785544757256,0.7018649193548387,77,766,11.50802865024058,1.5202666704457193,0.2916926338886036,0.7444551591128253,405,690
C17-S,S,3,38.95886743982645,3.976122392985475,0.085058073217193,0.7572147206777866,9,766,6.041948900842248,1.6804976154086972,0.4498142646216003,0.7740998838559815,1302,690
C18-L,L,3,16.934341211943156,1.6910981994500318,0.211887865723918,0.713314704789975,98,766,10.663298712065515,1.557877633899904,0.4205769671186449,0.8136409736308317,499,690
C18-M,M,3,19.101364012182323,1.7175082584142292,0.1453298728824546,0.6891143911439115,75,766,11.086532875240804,1.6294137194233391,0.3191550815704909,0.7495931254045629,440,690
C18-S,S,3,38.73578824647733,3.748295805379585,0.0830878089924821,0.7383548377018964,9,766,6.613835567728841,1.672893356962911,0.3991391043424143,0.7504363001745201,1159,690
C19-L,L,3,21.244574613439536,1.9684361496877767,0.1415557494825469,0.682354593987075,67,766,11.422198295884725,1.566453750783208,0.3686783022889855,0.7934952978056427,437,690
C19-M,M,3,20.267160558734552,1.7327752842583846,0.1379547809848897,0.6930437270082765,56,766,12.131108811436938,1.6148169978782323,0.2931686622944824,0.7387923147301007,363,690
C19-S,S,3,38.39915289561157,3.7658141761792936,0.0645109011221723,0.7151063055569995,9,766,6.789098234771531,1.7529925191364344,0.3980625734769578,0.7448680351906158,1039,690
C21-L,L,3,20.426110485079136,1.8051100813127652,0.1398771829143256,0.6767341620996068,60,766,11.480410219130777,1.5773615770397524,0.3230558232207291,0.7628304699144897,400,690
C21-M,M,3,33.91461759659803,1.982435056861551,0.0524606718777326,0.61362062997577,23,766,10.519436489723423,1.668464718339173,0.2566555338012988,0.712363869314542,455,690
