target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p
circularity,beta,0.0007325573412764186,2.0,0.0003662786706382093,0.2276589955505408,0.7972507656515078,0.0005380602125294031,0.0,0.9764047190561888
circularity,t_hold,0.006245221568157433,2.0,0.0031226107840787165,1.94084584111868,0.15468585902689183,0.004587088347788523,0.0022210156551435334,0.8474305138972206
circularity,precursor:T_C,0.029910639361833802,4.0,0.0074776598404584504,4.647708602254063,0.0029809288756773343,0.021969235806000773,0.017221988038710067,0.788242351529694
circularity,precursor:beta,0.0010660096935133367,4.0,0.0002665024233783342,0.16564348099325937,0.954784929996324,0.0007829795292895163,0.0,0.9998000399920016
circularity,precursor:t_hold,0.006978836847146397,4.0,0.0017447092117865992,1.0844168075389924,0.37478580278378354,0.005125925611011955,0.0003985584947230268,0.981003799240152
circularity,T_C:beta,0.015027358742198516,4.0,0.003756839685549629,2.3350481964084575,0.0688330181314045,0.011037530283287323,0.0063031855273308094,0.9292141571685663
circularity,T_C:t_hold,0.008166692508858375,4.0,0.002041673127214594,1.2689935031551864,0.2952083068236919,0.005998400479233682,0.0012700035553735495,0.9788042391521695
circularity,beta:t_hold,0.0019308075134993885,4.0,0.0004827018783748471,0.3000213596650348,0.8764956574249054,0.0014181698039591971,0.0,0.9994001199760048
circularity,Residual,0.07722680207789523,48.0,0.0016088917099561506,,,0.056722753561648125,,
convexity,precursor,0.0992127034872965,2.0,0.04960635174364825,157.6957767870203,7.957814467469361e-22,0.6466688326327344,0.6412532907045126,0.0001999600079984003
convexity,T_C,0.027248970618757085,2.0,0.013624485309378542,43.31146554152512,1.782102537557234e-11,0.1776089089511766,0.17315314470735024,0.0011997600479904018
convexity,beta,0.00043038060600508743,2.0,0.00021519030300254371,0.6840777601300924,0.5094060051055069,0.0028052226609137296,0.0,0.8976204759048191
convexity,t_hold,0.001447348807865012,2.0,0.000723674403932506,2.3005198579964663,0.11115418332756749,0.009433825821652869,0.005322176868240139,0.68126374725055
convexity,precursor:T_C,0.0036880461227326578,4.0,0.0009220115306831644,2.9310223273229994,0.03012561028749175,0.024038700660834085,0.015804821893863966,0.7590481903619276
convexity,precursor:beta,0.0007911287111994625,4.0,0.00019778217779986562,0.6287383181080628,0.6443470792505778,0.005156580378833269,0.0,0.9832033593281344
convexity,precursor:t_hold,0.00062974728432863,4.0,0.0001574368210821575,0.500482718901192,0.735462029741066,0.004104695536923595,0.0,0.989002199560088
convexity,T_C:beta,0.002504411258129835,4.0,0.0006261028145324588,1.9903453129644424,0.11100351440045458,0.0163237634677949,0.00810567079590678,0.8684263147370526
convexity,T_C:t_hold,0.0019653998378288406,4.0,0.0004913499594572102,1.561973634571846,0.19964923504434967,0.012810484687055021,0.004599580790849012,0.913617276544691
convexity,beta:t_hold,0.0004036984821240708,4.0,0.0001009246205310177,0.3208336406962632,0.8626405734485816,0.0026313084614633703,0.0,0.99500099980004
convexity,Residual,0.015099357333525631,48.0,0.00031456994444845066,,,0.09841767674061808,,
