sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C24-S,2269,4.457752488928697,3,percentile_75,75.0,0.082
C25-L,508,9.786252875454934,3,percentile_75,75.0,0.082
C25-M,795,7.219636982621909,3,percentile_75,75.0,0.082
C25-S,1958,4.892315511878591,3,percentile_75,75.0,0.082
C26-L,508,9.80406378017862,3,percentile_75,75.0,0.082
C26-M,456,10.194551451872224,3,percentile_75,75.0,0.082
C26-S,1680,5.117474403242236,3,percentile_75,75.0,0.082
C27-L,526,9.150949952628206,3,percentile_75,75.0,0.082
C27-M,623,8.019522405137081,3,percentile_75,75.0,0.082
C27-S,1909,4.754105131057737,3,percentile_75,75.0,0.082
C01-L,680,8.031364222017855,3,percentile_80,80.0,0.082
C01-M,907,6.146137404976707,3,percentile_80,80.0,0.082
C01-S,3004,3.8543549897343925,3,percentile_80,80.0,0.082
C02-L,679,8.007638690425992,3,percentile_80,80.0,0.082
C02-M,748,7.346039263328408,3,percentile_80,80.0,0.082
C02-S,2629,4.2011305781721076,3,percentile_80,80.0,0.082
C03-L,634,8.186016141339529,3,percentile_80,80.0,0.082
C03-M,647,7.675696080529725,3,percentile_80,80.0,0.082
C03-S,2813,4.08621916744697,3,percentile_80,80.0,0.082
C04-L,550,8.98113121294011,3,percentile_80,80.0,0.082
C04-M,816,6.652114630477131,3,percentile_80,80.0,0.082
C04-S,2614,4.124878677152203,3,percentile_80,80.0,0.082
C05-L,731,7.919946623710677,3,percentile_80,80.0,0.082
C05-M,721,7.419135981738698,3,percentile_80,80.0,0.082
C05-S,3163,3.887158602416619,3,percentile_80,80.0,0.082
C06-L,652,8.488709491597795,3,percentile_80,80.0,0.082
C06-M,750,7.028028131374937,3,percentile_80,80.0,0.082
C06-S,2080,4.656279268811705,3,percentile_80,80.0,0.082
C07-L,669,8.121786262511955,3,percentile_80,80.0,0.082
C07-M,727,7.202028085712445,3,percentile_80,80.0,0.082
C07-S,2909,4.0156942680121945,3,percentile_80,80.0,0.082
C08-L,667,8.043237160911788,3,percentile_80,80.0,0.082
