sample_id,condition_id,precursor,T_C,beta,t_hold,Theta,sieved,compaction_density,D_sec,circularity,convexity,residual_precursor_adj_full27,residual_precursor_adj_unsieved22
C05-S,C05,S,850.0,5.0,15.0,6.085062465360228,False,3.35,3.8912374721731418,0.7189860447394287,0.8751770538243626,0.18166666666666664,0.17318181818181833
C05-M,C05,M,850.0,5.0,15.0,6.085062465360228,False,3.45,9.846078657768498,0.3413827270468627,0.7478152309612984,0.06074074074074076,0.05909090909090953
C05-L,C05,L,850.0,5.0,15.0,6.085062465360228,False,3.36,9.074313316252915,0.4796625454940836,0.8247322297955209,-0.035370370370370274,-0.03863636363636358
C06-S,C06,S,850.0,5.0,20.0,8.091958930119292,False,3.2,4.879321291024226,0.5858451899641998,0.8294573643410853,0.03166666666666673,0.023181818181818414
C06-M,C06,M,850.0,5.0,20.0,8.091958930119292,False,3.51,10.186763881077844,0.3505673312117298,0.755672514619883,0.12074074074074037,0.11909090909090914
C06-L,C06,L,850.0,5.0,20.0,8.091958930119292,False,3.47,9.732584744931176,0.4819705492755332,0.8314720812182741,0.07462962962963005,0.07136363636363674
C07-S,C07,S,850.0,8.0,10.0,4.054026098945026,True,3.14,4.0156942680121945,0.7035404000758467,0.8712871287128713,-0.02833333333333332,
C07-M,C07,M,850.0,8.0,10.0,4.054026098945026,True,3.395,9.887901758142648,0.3315885899325831,0.7470300489168413,0.005740740740740602,
C07-L,C07,L,850.0,8.0,10.0,4.054026098945026,True,3.4,9.422688717681089,0.42299084584042,0.8039309233650653,0.004629629629629761,
C08-S,C08,S,850.0,8.0,15.0,6.060922563704088,False,3.29,3.935851422566431,0.6939689557199944,0.8629441624365483,0.12166666666666659,0.11318181818181827
C08-M,C08,M,850.0,8.0,15.0,6.060922563704088,False,3.26,8.195652056556362,0.3716921096851193,0.7630949480711952,-0.12925925925925963,-0.13090909090909086
C08-L,C08,L,850.0,8.0,15.0,6.060922563704088,False,3.49,9.65398923433004,0.4346442203478686,0.8182828563489859,0.09462962962963006,0.09136363636363676
C09-S,C09,S,850.0,8.0,20.0,8.06781902846315,False,3.14,3.9998532032338936,0.6949377015008613,0.8689490361060815,-0.02833333333333332,-0.03681818181818164
C09-M,C09,M,850.0,8.0,20.0,8.06781902846315,False,3.4,10.040816527558595,0.4176427334040242,0.8101767215112736,0.010740740740740495,0.00909090909090926
C09-L,C09,L,850.0,8.0,20.0,8.06781902846315,False,3.34,9.594620100662157,0.4860111914298262,0.8391363214113506,-0.05537037037037029,-0.0586363636363636
C10-S,C10,S,900.0,2.0,10.0,10.435966857121558,False,3.17,3.967981355043056,0.6829112386332447,0.8641975308641975,0.0016666666666664831,-0.006818181818181834
C10-M,C10,M,900.0,2.0,10.0,10.435966857121558,False,3.42,10.769934351879687,0.3244152633804004,0.7527472527472527,0.030740740740740513,0.029090909090909278
C10-L,C10,L,900.0,2.0,10.0,10.435966857121558,False,3.38,9.831558786066882,0.4690646534716028,0.832893122534953,-0.015370370370370257,-0.018636363636363562
C11-S,C11,S,900.0,2.0,15.0,15.435966857121558,False,3.17,4.0550261985540725,0.6762511885183883,0.8589743589743589,0.0016666666666664831,-0.006818181818181834
C11-M,C11,M,900.0,2.0,15.0,15.435966857121558,False,3.42,9.197559665162274,0.3778060760492182,0.7695229777085391,0.030740740740740513,0.029090909090909278
C11-L,C11,L,900.0,2.0,15.0,15.435966857121558,False,3.4,10.128950776573635,0.4433810900739104,0.8239545689210118,0.004629629629629761,0.0013636363636364557
C12-S,C12,S,900.0,2.0,20.0,20.43596685712156,False,3.1,4.646043170628641,0.610513687492284,0.8408450704225352,-0.06833333333333336,-0.07681818181818167
C12-M,C12,M,900.0,2.0,20.0,20.43596685712156,False,3.36,8.603854503709423,0.3624917306542036,0.7482494164721574,-0.02925925925925954,-0.030909090909090775
C12-L,C12,L,900.0,2.0,20.0,20.43596685712156,False,3.33,9.634226087709996,0.4909921450971725,0.8288636913401064,-0.06537037037037008,-0.06863636363636338
C13-S,C13,S,900.0,5.0,10.0,10.174386742848624,False,3.12,4.117175815757948,0.6655288099050644,0.8573097463284379,-0.04833333333333334,-0.05681818181818166
C13-M,C13,M,900.0,5.0,10.0,10.174386742848624,False,3.34,11.077957875901715,0.3286829153153,0.7578155916106054,-0.04925925925925956,-0.05090909090909079
C13-L,C13,L,900.0,5.0,10.0,10.174386742848624,False,3.33,10.47710458162205,0.4771004551737191,0.8299180327868851,-0.06537037037037008,-0.06863636363636338
C14-S,C14,S,900.0,5.0,15.0,15.174386742848624,True,3.055,3.919687693400157,0.7057355863466722,0.8705882352941177,-0.11333333333333329,
C14-M,C14,M,900.0,5.0,15.0,15.174386742848624,True,3.285,9.27841144592807,0.3315985604989327,0.7425066220549281,-0.10425925925925927,
C14-L,C14,L,900.0,5.0,15.0,15.174386742848624,True,3.37,9.27838873842304,0.4369683142439774,0.8150891407152254,-0.025370370370370043,
C15-S,C15,S,900.0,5.0,20.0,20.174386742848625,False,3.08,4.227492158576884,0.6524774587444,0.8544232348111658,-0.08833333333333337,-0.09681818181818169
C15-M,C15,M,900.0,5.0,20.0,20.174386742848625,False,3.36,10.21321710946393,0.3455167014478714,0.7552056833813858,-0.02925925925925954,-0.030909090909090775
C15-L,C15,L,900.0,5.0,20.0,20.174386742848625,False,3.33,9.758642039901568,0.4914376250034461,0.8365978487161694,-0.06537037037037008,-0.06863636363636338
C16-S,C16,S,900.0,8.0,10.0,10.108991714280393,False,3.13,4.411221620440145,0.6267739636594966,0.8448857032158078,-0.03833333333333355,-0.04681818181818187
C16-M,C16,M,900.0,8.0,10.0,10.108991714280393,False,3.4,10.624528374427824,0.3359527396659331,0.7652453003209536,0.010740740740740495,0.00909090909090926
C16-L,C16,L,900.0,8.0,10.0,10.108991714280393,False,3.37,10.122680920957952,0.4878245707869858,0.8384647827920709,-0.025370370370370043,-0.02863636363636335
C17-S,C17,S,900.0,8.0,15.0,15.10899171428039,False,3.06,4.611754560525867,0.5962876238629882,0.834345429490124,-0.10833333333333339,-0.11681818181818171
C17-M,C17,M,900.0,8.0,15.0,15.10899171428039,False,3.29,11.839771392430563,0.3061840164067754,0.7525385054192812,-0.09925925925925938,-0.10090909090909062
C17-L,C17,L,900.0,8.0,15.0,15.10899171428039,False,3.3,10.525241426110606,0.4760156825352625,0.8366552007915152,-0.09537037037037033,-0.09863636363636363
C18-S,C18,S,900.0,8.0,20.0,20.10899171428039,False,3.04,4.991872966174892,0.5605387046412269,0.8168570784321094,-0.1283333333333334,-0.13681818181818173
C18-M,C18,M,900.0,8.0,20.0,20.10899171428039,False,3.3,11.127970279117552,0.3340086534630376,0.7583331945687743,-0.0892592592592596,-0.09090909090909083
C18-L,C18,L,900.0,8.0,20.0,20.10899171428039,False,3.32,11.273942590428806,0.420479334399403,0.805318138651472,-0.07537037037037031,-0.07863636363636362
C19-S,C19,S,950.0,2.0,10.0,24.21446407057823,False,3.16,5.3062844292839735,0.5309043651906313,0.8050532697187698,-0.008333333333333304,-0.01681818181818162
C19-M,C19,M,950.0,2.0,10.0,24.21446407057823,False,3.34,11.765807984953714,0.3090964011521875,0.7465510624337139,-0.04925925925925956,-0.05090909090909079
C19-L,C19,L,950.0,2.0,10.0,24.21446407057823,False,3.37,11.819581827800263,0.37471958032132,0.7901516617424433,-0.025370370370370043,-0.02863636363636335
C20-S,C20,S,950.0,2.0,15.0,35.77567253496972,False,3.26,5.303293287167072,0.5236644148842428,0.7968750000000001,0.09166666666666634,0.08318181818181802
C20-M,C20,M,950.0,2.0,15.0,35.77567253496972,False,3.34,11.568542485201585,0.2871032204972198,0.7269451718726857,-0.04925925925925956,-0.05090909090909079
C20-L,C20,L,950.0,2.0,15.0,35.77567253496972,False,3.45,11.327312601950805,0.3675766078194761,0.7979172834468775,0.05462962962963003,0.05136363636363672
C21-S,C21,S,950.0,2.0,20.0,47.33688099936123,True,3.24,5.548999065682753,0.5180029222813124,0.8047091412742382,0.07166666666666677,
C21-M,C21,M,950.0,2.0,20.0,47.33688099936123,True,3.355,9.157885118422907,0.3130151460837162,0.7251372118551043,-0.034259259259259434,
C21-L,C21,L,950.0,2.0,20.0,47.33688099936123,True,3.325,11.826358256378134,0.3190281414260775,0.7608557594865444,-0.07037037037036997,
C22-S,C22,S,950.0,5.0,10.0,23.55923578550109,False,3.37,5.56328149565903,0.49088105596107,0.7854625720191758,0.20166666666666666,0.19318181818181834
C22-M,C22,M,950.0,5.0,10.0,23.55923578550109,False,3.5,12.992805914875769,0.2441226219486276,0.7132857142857142,0.11074074074074058,0.10909090909090935
C22-L,C22,L,950.0,5.0,10.0,23.55923578550109,False,3.51,12.522535138943129,0.3227905723752118,0.7728832951945079,0.11462962962962964,0.11136363636363633
C23-S,C23,S,950.0,5.0,15.0,35.12044424989258,False,3.33,6.886587711776878,0.4223410298140281,0.7654324353500505,0.16166666666666663,0.1531818181818183
C23-M,C23,M,950.0,5.0,15.0,35.12044424989258,False,3.43,9.907145179054211,0.3292918926245407,0.7373725058672091,0.040740740740740744,0.03909090909090951
C23-L,C23,L,950.0,5.0,15.0,35.12044424989258,False,3.56,12.429594538251637,0.3207354068927546,0.7572772161906163,0.1646296296296299,0.1613636363636366
C24-S,C24,S,950.0,5.0,20.0,46.68165271428408,False,3.1,4.531904977172929,0.6106123834198492,0.8368592397019667,-0.06833333333333336,-0.07681818181818167
C24-M,C24,M,950.0,5.0,20.0,46.68165271428408,False,3.37,10.88717943418724,0.3397693825324865,0.7545605808500984,-0.01925925925925931,-0.020909090909090544
C24-L,C24,L,950.0,5.0,20.0,46.68165271428408,False,3.4,11.072225426422966,0.4304883904753143,0.8124499064921187,0.004629629629629761,0.0013636363636364557
C25-S,C25,S,950.0,8.0,10.0,23.39542871423181,False,3.13,5.05820358973422,0.5624478112643455,0.8183006535947713,-0.03833333333333355,-0.04681818181818187
C25-M,C25,M,950.0,8.0,10.0,23.39542871423181,False,3.38,10.07238157407282,0.3686419031995877,0.7722419928825623,-0.009259259259259522,-0.010909090909090757
C25-L,C25,L,950.0,8.0,10.0,23.39542871423181,False,3.41,11.271113901373727,0.4311072237386223,0.8224826698120924,0.014629629629629992,0.011363636363636687
C26-S,C26,S,950.0,8.0,15.0,34.956637178623296,False,3.28,5.415826839329719,0.5073927498179474,0.7953216374269005,0.11166666666666636,0.10318181818181804
C26-M,C26,M,950.0,8.0,15.0,34.956637178623296,False,3.44,12.26383539380828,0.3032572824128868,0.7549215406562054,0.05074074074074053,0.049090909090909296
C26-L,C26,L,950.0,8.0,15.0,34.956637178623296,False,3.43,11.543832104568835,0.3482391535179845,0.770765324628219,0.03462962962963001,0.031363636363636704
C27-S,C27,S,950.0,8.0,20.0,46.5178456430148,False,3.14,4.830280523803874,0.5625180144350935,0.817032793777591,-0.02833333333333332,-0.03681818181818164
C27-M,C27,M,950.0,8.0,20.0,46.5178456430148,False,3.38,11.31609882347827,0.3351131984131583,0.75,-0.009259259259259522,-0.010909090909090757
C27-L,C27,L,950.0,8.0,20.0,46.5178456430148,False,3.38,11.44163562319878,0.4306557348429704,0.8162839248434238,-0.015370370370370257,-0.018636363636363562
