sample_id,precursor,T_C,beta,t_hold,Theta,xrd_instrument,D_XRD,D_XRD_003,D_XRD_104,two_theta_003,fwhm_003,eta_003,D_003_gauss,D_003_lorentz,two_theta_104,fwhm_104,eta_104,D_104_gauss,D_104_lorentz,D_XRD_gauss_reimpl,D_XRD_lorentz,diff_003_vs_master,diff_104_vs_master,diff_DXRD_vs_master
C09-M,M,850.0,8.0,20.0,8.06781902846315,1,50.93858789595886,46.1771478987292,55.70002789318852,16.518299525640728,0.19099999005843574,0.5791674686526056,46.1771478987292,71.75153052544574,41.51012791575907,0.17005827711888985,0.5117465112227028,55.70002789318852,89.56864793184198,50.93858789595886,80.66008922864387,0.0,0.0,0.0
C09-S,S,850.0,8.0,20.0,8.06781902846315,1,55.50452587369766,49.97695912503052,61.03209262236481,16.511518474800518,0.17905320758781132,0.5752246917181155,49.97695912503052,80.32998278582387,41.506874890479246,0.1582155304967618,0.30824768871843095,61.03209262236481,102.3466218547182,55.50452587369766,91.33830232027103,0.0,0.0,0.0
C12-L,L,900.0,2.0,20.0,20.43596685712156,1,54.969167356526086,49.8805303874842,60.05780432556797,16.528526833959877,0.1793330616358072,0.5841385702530908,49.8805303874842,80.10399850271497,41.51404787829374,0.16020860794386646,0.35920785208087536,60.05780432556797,99.94875390561941,54.969167356526086,90.02637620416719,0.0,0.0,0.0
C12-M,M,900.0,2.0,20.0,20.43596685712156,1,55.09086566414818,49.23184553665662,60.94988579163975,16.521853004812762,0.18123795624119,0.5991356448542223,49.23184553665662,78.61038705765881,41.50671821212404,0.15838067161527322,0.3352948523059174,60.94988579163975,102.14336600638312,55.09086566414818,90.37687653202096,0.0,0.0,0.0
C12-S,S,900.0,2.0,20.0,20.43596685712156,1,63.62196732812889,57.54754883910535,69.69638581715243,16.52252970828139,0.16037010640401875,0.5940530457863853,57.547548839105346,98.80009936356304,41.501146383859805,0.14322592031025175,0.07790419161044364,69.69638581715243,124.89981952565341,63.62196732812889,111.84995944460823,-7.105427357601002e-15,0.0,0.0
C14-L,L,900.0,5.0,15.0,15.174386742848624,1,61.14925233381459,55.29442794943003,67.00407671819914,16.525545888559616,0.16533817789178665,0.5582530726732251,55.29442794943003,93.1066017586911,41.50093258791425,0.14741642292018362,0.1764786729891327,67.00407671819914,117.65131220948577,61.14925233381459,105.37895698408843,0.0,0.0,0.0
C14-M,M,900.0,5.0,15.0,15.174386742848624,1,58.39167015024934,52.243365491605736,64.53997480889295,16.521262393152977,0.17283036551900524,0.5703065692444164,52.243365491605736,85.66328030305007,41.5125962114317,0.1516039949098185,0.24297631983507,64.53997480889295,111.20574367599744,58.39167015024934,98.43451198952376,0.0,0.0,0.0
C14-S,S,900.0,5.0,15.0,15.174386742848624,1,65.35184172332542,58.08641394546365,72.6172695011872,16.52265673706932,0.15924576196572085,0.5938488390515628,58.08641394546365,100.18645726107725,41.49727924526955,0.13907613156198634,4.2110227137201895e-14,72.6172695011872,133.0139011507754,65.35184172332542,116.60017920592634,0.0,0.0,0.0
C15-L,L,900.0,5.0,20.0,20.174386742848625,1,58.93161584589137,52.22930903526538,65.63392265651736,16.52492116093803,0.17286735009049123,0.5674462617691572,52.22930903526538,85.62905215313322,41.51087948714268,0.1497023657070328,0.21047468912771244,65.63392265651736,114.04400107765245,58.93161584589137,99.83652661539284,0.0,0.0,0.0
C15-M,M,900.0,5.0,20.0,20.174386742848625,1,60.91744638730755,54.400900094092286,67.43399268052282,16.51764135550353,0.16743549449257544,0.561937194134266,54.400900094092286,90.89664346822948,41.506218111965076,0.1467235466046796,0.1529215332589583,67.43399268052282,118.79282190509046,60.91744638730755,104.84473268665997,0.0,0.0,0.0
