sample_id,precursor,filename,d_um,D_f,r2,n_scales
C01-L,L,C01-L-04.tif,9.81701982806897,1.0265806740983539,0.8008939345543816,7
C01-L,L,C01-L-04.tif,9.673697977337156,1.0564246948310498,0.9538015267292519,7
C01-L,L,C01-L-04.tif,8.750189052558355,1.0747749017721873,0.8861369954311301,7
C01-L,L,C01-L-04.tif,13.890220258134388,1.0649632451493747,0.9290169456273275,7
C01-L,L,C01-L-04.tif,8.353002831059898,1.0664755648727828,0.8131402559678538,6
C01-L,L,C01-L-04.tif,10.555585862550599,1.0348266133960937,0.8181994043340212,8
C01-L,L,C01-L-04.tif,16.435902813920105,1.0846164280693913,0.9316919067957943,8
C01-L,L,C01-L-04.tif,11.137970469114702,1.0602956597189002,0.9159663319937295,8
C01-L,L,C01-L-04.tif,13.710806006839647,1.0652324869023062,0.944780099100654,8
C01-L,L,C01-L-04.tif,8.098301530182193,1.0560448080249127,0.8683298423739387,7
C01-L,L,C01-L-04.tif,8.261292793200587,1.0579125488909469,0.7096705282767941,6
C01-L,L,C01-L-04.tif,11.346913854423892,1.0732531874917575,0.9058194463460427,8
C01-L,L,C01-L-04.tif,11.911941341184157,1.0560980102564776,0.7604073736355842,7
C01-L,L,C01-L-04.tif,6.125443280890184,,,0
C01-L,L,C01-L-04.tif,16.304041151811347,1.038729831350297,0.9139200854780952,8
C01-L,L,C01-L-04.tif,7.871702845132862,1.075306720219593,0.9243288237207652,7
C01-L,L,C01-L-04.tif,9.447925122907568,1.0802176139398292,0.926772364827571,8
C01-L,L,C01-L-04.tif,13.929016644280894,1.0452791092638238,0.972505841112791,8
C01-L,L,C01-L-04.tif,11.191990298189324,1.068114983835828,0.8529603997667886,8
C01-L,L,C01-L-04.tif,9.178659175631722,1.0769102452265407,0.8172825719124226,8
C01-L,L,C01-L-04.tif,12.356666422926725,1.0374690373823876,0.8625318470022957,7
C01-L,L,C01-L-04.tif,11.072225426422966,1.0597338817448314,0.8802790236904048,7
C01-L,L,C01-L-04.tif,5.935950544465699,,,0
C01-L,L,C01-L-04.tif,8.261292793200587,1.0813645451131053,0.8785924460436126,7
C01-L,L,C01-L-04.tif,6.633006145813993,1.0373982412024796,0.7921777052113486,7
C01-L,L,C01-L-04.tif,9.524888419578044,1.0598498159795122,0.8845921529217426,7
C01-L,L,C01-L-04.tif,9.926351294359565,1.0545121294224218,0.9239076871488515,8
C01-L,L,C01-L-04.tif,7.311387941523849,1.0374644038555156,0.7116337222377904,5
C01-L,L,C01-L-04.tif,7.263472461190293,1.0325303805329011,0.9310949961167712,6
C01-L,L,C01-L-04.tif,5.261226840402518,,,0
C01-L,L,C01-L-04.tif,14.004020457983696,1.0560624130035816,0.7210563206143843,8
C01-L,L,C01-L-04.tif,6.458422718384586,1.054514099987765,0.8704625487528159,6
C01-L,L,C01-L-04.tif,9.457999330627823,1.0809810503345612,0.8254289679900295,7
C01-L,L,C01-L-04.tif,9.209732400709232,1.0492125867726765,0.8602630571900516,8
C01-L,L,C01-L-04.tif,10.654364233151115,1.08078028746267,0.9161566028270698,8
C01-L,L,C01-L-04.tif,4.507323937336815,,,0
C01-L,L,C01-L-04.tif,9.709726772351917,1.0783719390535218,0.7500357284469414,8
C01-L,L,C01-L-04.tif,6.642570687401961,,,0
C01-L,L,C01-L-04.tif,9.109228078995104,1.0646439208488245,0.8751142951974236,8
C01-L,L,C01-L-04.tif,10.228745804929392,1.0306473875493432,0.8121768358427524,8
C01-L,L,C01-L-04.tif,11.245750641849426,1.0773872235316015,0.9087508305607894,8
C01-L,L,C01-L-04.tif,5.925245485177561,1.0708669674660058,0.7986719511053602,6
C01-L,L,C01-L-04.tif,9.060309737976617,1.0321909874151984,0.8666242135493369,8
C01-L,L,C01-L-04.tif,7.315728332491791,1.0461797531611048,0.7929917512794673,7
C01-L,L,C01-L-04.tif,6.826401253096697,,,0
C01-L,L,C01-L-04.tif,8.44371683421474,1.040056716263125,0.9346353247869202,6
C01-L,L,C01-L-04.tif,8.54090314099356,1.0509100288120878,0.8663908805435215,7
C01-L,L,C01-L-04.tif,8.499921471804495,1.0629731467114674,0.8291436519187559,6
C01-L,L,C01-L-04.tif,8.40603830248076,1.0595648148674774,0.8301710823713643,6
C01-L,L,C01-L-04.tif,10.26282622764564,1.0422385320545033,0.8320313269157906,7
C01-L,L,C01-L-04.tif,11.444409689338029,1.0699060687393809,0.8502333172478517,8
C01-L,L,C01-L-04.tif,14.71798288740015,1.0612874915834478,0.9022159240046744,8
C01-L,L,C01-L-04.tif,9.427744412524733,1.0607484205784032,0.7749625363730184,8
C01-L,L,C01-L-04.tif,14.456850689907194,1.057263755702682,0.8930753297251686,8
C01-L,L,C01-L-04.tif,15.050682881464128,1.0417558789793107,0.9512239555799171,8
C01-L,L,C01-L-04.tif,14.544415698294014,1.0476111068269292,0.9669047667342354,8
C01-L,L,C01-L-04.tif,9.199386320977345,1.052170189925038,0.8403781068700109,7
C01-L,L,C01-L-04.tif,12.5402670677145,1.0393325970526273,0.9783664812221328,8
C01-L,L,C01-L-04.tif,7.571599912606972,1.0444358133285394,0.6658352115534114,6
C01-L,L,C01-L-04.tif,5.439221448613327,,,0
C01-L,L,C01-L-04.tif,7.108865808043678,1.0381751479827888,0.542191110873451,6
C01-L,L,C01-L-04.tif,17.616084344634203,1.0664457550469697,0.93622746906489,8
C01-L,L,C01-L-04.tif,7.927958711367745,1.0368006797112306,0.6743942317559348,6
C01-L,L,C01-L-04.tif,10.956946643979611,1.0600619073487754,0.8750648760999252,8
C01-L,L,C01-L-04.tif,8.168553172642095,1.0515648241285964,0.7784657936815921,7
C01-L,L,C01-L-04.tif,7.444763470769674,1.04130552518656,0.6960951424264692,7
C01-L,L,C01-L-04.tif,12.815690090647111,1.0611349128069998,0.9109094699340101,8
C01-L,L,C01-L-04.tif,7.1799562345864585,1.0743858908684298,0.8951111358727666,6
