sample_id,hkl,precursor,two_theta_obs,two_theta_calc,residual_deg,fwhm,eta,cos_theta,sin_theta,D_XRD
C15-S,113,S,64.79037882921087,64.78976360675456,0.0006152224563038544,0.18855206999117152,9.206486192188334e-35,0.8443729108405695,0.5357559028500046,69.51335331914211
C15-M,003,M,16.51764135550353,16.526981384463443,-0.009340028959911706,0.16743549449257544,0.561937194134266,0.9896292844217487,0.14364497699153161,60.91744638730755
C15-M,006,M,33.499904466794675,33.49985393378143,5.053301324409176e-05,0.15205521291093071,0.4917517326614524,0.9575716010692402,0.28819546982159855,60.91744638730755
C15-M,101,M,35.08652428178247,35.0823918032631,0.0041324785193666,0.1304537692316383,0.1698265469590121,0.9534896259346831,0.3014258337218928,60.91744638730755
C15-M,012,M,36.44443010414695,36.44334236704068,0.0010877371062747443,0.1416910011710744,0.185086555944029,0.9498508798155917,0.31270322370187736,60.91744638730755
C15-M,104,M,41.506218111965076,41.50434499367795,0.0018731182871292162,0.1467235466046796,0.1529215332589583,0.9351159833213084,0.3543417809643995,60.91744638730755
C15-M,015,M,44.982081351489974,44.989155655717425,-0.007074304227451478,0.1567653730216378,1.067764143791913e-19,0.9239393613121236,0.3825389609152838,60.91744638730755
C15-M,107,M,53.41159829832417,53.40876988809951,0.0028284102246587395,0.18252606925443757,1.768699773740951e-19,0.8933259062679527,0.44940941822634395,60.91744638730755
C15-M,018,M,58.223199505223604,58.22251641023158,0.0006830949920271223,0.19545720975302325,1.2726181309183707e-19,0.8736737446466811,0.4865122690282804,60.91744638730755
C15-M,110,M,62.11965906779146,62.11727838068801,0.0023806871034466326,0.19429063370381186,3.9324758935171043e-20,0.8566290191999144,0.5159328672071519,60.91744638730755
C15-M,113,M,64.78517987615835,64.78828732228564,-0.0031074461272879716,0.21631984650152714,4.454580071624889e-18,0.8443972169083693,0.5357175935858373,60.91744638730755
C15-L,003,L,16.52492116093803,16.534904255842964,-0.009983094904931988,0.17286735009049123,0.5674462617691572,0.989620156905455,0.143707846154699,58.93161584589137
C15-L,006,L,33.507023285177034,33.5087540465346,-0.0017307613575638925,0.16771589904935108,0.454192765011128,0.9575536955361874,0.2882549568784388,58.93161584589137
C15-L,101,L,35.090058743159155,35.0863364633574,0.003722279801756656,0.13930932670199603,0.23183839300241574,0.9534803283044793,0.30145524300695525,58.93161584589137
C15-L,012,L,36.44836950652371,36.44753271843633,0.000836788087383411,0.14124248985344356,0.27363811783548314,0.9498401292144912,0.312735877273137,58.93161584589137
C15-L,104,L,41.51087948714268,41.50935221712257,0.0015272700201123257,0.1497023657070328,0.21047468912771244,0.9351015685716327,0.3543798194802745,58.93161584589137
C15-L,015,L,44.99160949157949,44.9946575946076,-0.0030481030281137578,0.19633870640142742,9.733113517848954e-16,0.9239075504978479,0.38261578395704826,58.93161584589137
C15-L,107,L,53.41859847314961,53.41531969700514,0.003278776144469475,0.1766867768243438,0.1027111510330566,0.8932984510563672,0.44946398892491385,58.93161584589137
C15-L,018,L,58.22906036807982,58.22960430312968,-0.0005439350498619433,0.19860687926776144,0.01566024395046473,0.8736488605046475,0.486556953027013,58.93161584589137
C15-L,110,L,62.117552992373575,62.11820509188107,-0.0006520995074978941,0.2008483188264396,0.03022864346260782,0.85663850137259,0.5159171231565425,58.93161584589137
C15-L,113,L,64.78892748221251,64.78964272346828,-0.0007152412557616117,0.2165338230715103,0.08160611503149084,0.8443796963312937,0.5357452084932465,58.93161584589137
C16-S,003,S,16.541294301140002,16.55414356223168,-0.012849261091677278,0.17090393290058367,0.7036286102612485,0.9895996134526722,0.14384924419099906,61.33196148001568
C16-S,006,S,33.55133044139286,33.540496705117434,0.010833736275422723,0.1391976379904877,0.5519386940100298,0.9574421693526253,0.2886251762153446,61.33196148001568
C16-S,101,S,35.07616880360495,35.07643055252977,-0.0002617489248208926,0.12257698951948322,0.010760676303403039,0.9535168614703801,0.30133966697346054,61.33196148001568
C16-S,012,S,36.4354305830218,36.44006826102586,-0.004637678004058898,0.131924223308788,0.15028185875228858,0.9498754352332799,0.31262862559335014,61.33196148001568
C16-S,104,S,41.500106894964254,41.51016873332231,-0.010061838358055297,0.1432623070319841,0.11263338341218757,0.9351348791906874,0.3542919103239849,61.33196148001568
C16-S,015,S,45.010171908130715,45.0006259855905,0.00954592254021236,0.13366628349705342,1.7668642635011111e-15,0.9238455593474462,0.38276544054290523,61.33196148001568
C16-S,107,S,53.43490798275723,53.4325885092731,0.0023194734841283093,0.1862954482003614,0.18803860958896254,0.8932344710033419,0.44959112514748323,61.33196148001568
C16-S,018,S,58.24727858577552,58.25289572789083,-0.00561714211531239,0.1976273749375415,0.04711247619524685,0.8735714947217779,0.4866958430165176,61.33196148001568
C16-S,110,S,62.095008785839724,62.09042396236961,0.004584823470111132,0.17629901700832903,7.349007116722732e-35,0.8567399839119956,0.5157485821274486,61.33196148001568
C16-S,113,S,64.76400974434422,64.76637451043506,-0.0023647660908352464,0.1957658569292525,1.6066462566043767e-35,0.8444961732438888,0.5355615869126797,61.33196148001568
C16-M,003,M,16.526514351846203,16.542987952753933,-0.0164736009077302,0.19242788680526823,0.703469146832283,0.9896181588089448,0.14372160504111503,53.7190570639476
C16-M,006,M,33.53462651186335,33.52576632582786,0.008860186035491324,0.1555043815867721,0.6851767530384912,0.9574842318656094,0.28848560748973945,53.7190570639476
C16-M,101,M,35.06845366260224,35.06531508854248,0.0031385740597613676,0.1337175087434922,0.17709152246965815,0.9535371476973166,0.3012754685686604,53.7190570639476
C16-M,012,M,36.42541498284035,36.42852329698155,-0.003108314141201163,0.14410812103093615,0.33077084487183955,0.949902756159763,0.3125456028167502,53.7190570639476
C16-M,104,M,41.48933550787279,41.49708579313676,-0.007750285263973922,0.15693697902887563,0.33899354388897684,0.9351681778204385,0.35420400787117134,53.7190570639476
