subset_id,subset_description,group,target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p,n_samples,design_orthogonal,type_agreement,type_max_abs_diff
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,t_hold,0.02857314814809797,2.0,0.014286574074048985,3.5500135582569468,0.042257919461971646,0.027901698930318974,0.01996364229018544,0.47210557888422316,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,precursor:T_C,0.004278703703789688,2.0,0.002139351851894844,0.5315989712260224,0.5934782969495194,0.0041781571262782796,0.0,0.8994201159768046,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,precursor:beta,0.00018425925929932419,2.0,9.212962964966209e-05,0.022892922591399027,0.9773854060939491,0.0001799292941556932,0.0,0.9956008798240352,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,precursor:t_hold,0.002378703703698193,2.0,0.0011893518518490964,0.2955372770069342,0.7464242611310199,0.0023228058119818935,0.0,0.9396120775844831,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,T_C:beta,0.029399074073921838,4.0,0.0073497685184804595,1.8263145352705952,0.15176558996586215,0.02870821616816896,0.012938164777915089,0.8430313937212558,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,T_C:t_hold,0.034476851851877655,4.0,0.008619212962969414,2.1417536997639015,0.10195268288780425,0.033666669680580345,0.01787720882642112,0.7914417116576684,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,beta:t_hold,0.00958240740749261,4.0,0.0023956018518731526,0.5952735071582412,0.668979188633168,0.009357227461451947,0.0,0.9774045190961808,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,Residual,0.1126824074074193,28.0,0.004024371693122118,,,0.11003444877440453,,,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,compaction_density,coupling_total,,6.0,,,,0.006680892232415867,0.0,,54,True,True,3.326366959655047e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,precursor,462.50068479865786,1.0,462.50068479865786,2574.276981303319,4.187349327029608e-29,0.9182105789208752,0.9175266225156615,0.0001999600079984003,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,T_C,28.497476762733186,2.0,14.248738381366593,79.30842144316665,2.9302232358574732e-12,0.05657653165959023,0.055843239545002976,0.22875424915016995,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,beta,0.22659422904962412,2.0,0.11329711452481206,0.6306112910865813,0.5396570945824991,0.00044986142739736877,0.0,0.9878024395120976,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,t_hold,0.010257320525397517,2.0,0.005128660262698759,0.028546102726178628,0.9718857336848739,2.0364035183866525e-05,0.0,0.9998000399920016,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,precursor:T_C,1.6622770020167081,2.0,0.8311385010083541,4.626113607490512,0.018368810499946705,0.003300147174945432,0.0025858512669349387,0.9130173965206959,54,True,True,4.263256414560601e-13
