sample_id,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density
C16-S,4.411221620440145,1.472692671250589,0.6267739636594966,0.8448857032158078,,2144,0,,0,False,0.2977,0.1249
C17-L,10.525241426110606,1.4834368646490366,0.47601568253526255,0.8366552007915152,,414,0,,0,False,0.2828,0.1215
C17-M,11.839771392430563,1.4846921403502986,0.30618401640677545,0.7525385054192812,,323,0,,0,False,0.2531,0.1208
C17-S,4.611754560525867,1.524258063761922,0.5962876238629882,0.834345429490124,0.9576354342833318,2074,312,1.8507141941521394,160,True,0.3573,0.1088
C18-L,11.273942590428806,1.5143960443160847,0.420479334399403,0.805318138651472,,363,0,,0,False,0.268,0.1131
C18-M,11.127970279117553,1.5585467286182042,0.33400865346303765,0.7583331945687743,,348,0,,0,False,0.268,0.1193
C18-S,4.991872966174892,1.5210851061752273,0.5605387046412269,0.8168570784321094,0.9461355016144309,1866,289,1.8373725833394254,164,True,0.3498,0.109
C19-L,11.819581827800263,1.5383415104877425,0.37471958032132,0.7901516617424433,1.3759339985181283,316,107,1.5597855575151853,128,True,0.2977,0.1145
C19-M,11.765807984953714,1.5348971805831155,0.30909640115218756,0.7465510624337139,,308,0,,0,False,0.2828,0.1036
C19-S,5.3062844292839735,1.6089884295266006,0.5309043651906313,0.8050532697187698,1.1601435046109274,1662,405,1.8090814363514105,163,True,0.3275,0.1038
C20-L,11.327312601950805,1.5147175412887903,0.3675766078194761,0.7979172834468775,1.4836132496670298,362,231,1.742126941039105,146,True,0.3796,0.0726
C20-M,11.568542485201583,1.6022610674960531,0.2871032204972198,0.7269451718726857,1.2545328729703753,338,329,1.7722081831310625,129,True,0.4243,0.0794
C20-S,5.3032932871670715,1.6054195674888876,0.5236644148842428,0.7968750000000001,1.1318903656542405,1609,395,1.5866919327015996,186,True,0.3945,0.0877
C21-L,11.826358256378134,1.569464069402873,0.3190281414260775,0.7608557594865444,,300,0,,0,False,0.2754,0.0942
C21-M,9.157885118422907,1.6221689421613597,0.3130151460837162,0.7251372118551043,1.3000125118852903,465,328,1.6556168297666538,170,True,0.3498,0.0958
C21-S,5.548999065682753,1.5959207229327477,0.5180029222813124,0.8047091412742382,1.2025981962124153,1497,370,1.8071502508041153,143,True,0.4019,0.0893
C22-L,12.522535138943129,1.5779262144242114,0.32279057237521186,0.7728832951945079,1.4274498470769472,265,170,1.808284239890861,96,True,0.3498,0.0916
C22-M,12.992805914875767,1.6320886550211062,0.24412262194862763,0.7132857142857142,1.264111298546736,233,286,1.7020370781635834,159,True,0.4317,0.0933
