sample_id,D10,D50,D90,Span,D10_selfcalc,D50_selfcalc,D90_selfcalc,Span_selfcalc,D_value_source,B_bimodal,peak1_um,peak2_um,w_small,separation,bimodal_r2,note,n_modes,mode_positions_um
C14-M,0.371,2.64,7.02,2.521,0.32734482758620687,2.3242877291960506,6.192340425531915,2.5233517882806855,instrument,0.7192273622840287,0.23503474713695938,2.644639808820759,0.10070805396341943,3.570853243501639,0.9997133521939322,ok,2,"[0.276, 2.13]"
C14-S,0.297,1.77,2.95,1.495,0.26120689655172413,1.561111111111111,2.5976923076923075,1.4966810462822244,instrument,1.5585678786799206,0.24289197016728942,1.7153346602028254,0.16811394762583984,4.635450837632826,0.9999732690146698,ok,2,"[0.276, 1.88]"
C15-L,1.2,3.1,6.51,1.71,1.0648278388278387,2.728723684210526,5.735247311827956,1.7115765513470678,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C15-M,1.16,3.35,7.84,1.993,1.027654109589041,2.9515629742033385,6.907118644067792,1.9919834290730956,instrument,,4.03,,,,,unimodal_by_modecount,1,[4.03]
C15-S,1.17,2.71,5.74,1.685,1.033526912181303,2.3850690087829363,5.05501138952164,1.6861082268610912,instrument,,2.75,,,,,unimodal_by_modecount,1,[2.75]
C16-L,1.36,3.45,6.76,1.565,1.1998473282442748,3.03531211750306,5.952214765100675,1.5656931652768027,instrument,,3.55,,,,,unimodal_by_modecount,1,[3.55]
C16-M,1.14,3.13,6.78,1.799,1.006950819672131,2.7592628650904034,5.977425742574258,1.8013778193399044,instrument,,3.55,,,,,unimodal_by_modecount,1,[3.55]
C16-S,0.888,1.87,3.86,1.587,0.7815346062052506,1.6455967555040554,3.397298474945533,1.589553370223472,instrument,,1.65,,,,,unimodal_by_modecount,1,[1.65]
C17-L,1.21,2.9,6.19,1.714,1.07087987012987,2.5606488549618316,5.459878640776696,1.714018211494386,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C17-M,1.47,3.8,8.13,1.754,1.2279704797047972,3.2404691689008045,7.07815085158151,1.8053498018193288,instrument,,4.03,,,,,unimodal_by_modecount,1,[4.03]
C17-S,1.09,2.34,4.74,1.558,0.9652612359550561,2.0658068315665488,4.1784126984127,1.5553978297288509,instrument,,2.42,,,,,unimodal_by_modecount,1,[2.42]
C18-L,1.25,4.21,11.0,2.325,1.1076706827309237,3.712513089005236,9.73530927835052,2.3239348626596663,instrument,,5.21,,,,,unimodal_by_modecount,1,[5.21]
C18-M,1.26,3.15,7.12,1.862,1.117677304964539,2.7683266398929054,6.279891598915992,1.864741761164122,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C18-S,1.37,3.28,7.15,1.763,1.208923076923077,2.8942857142857146,6.314910941475828,1.7641616511287885,instrument,,3.55,,,,,unimodal_by_modecount,1,[3.55]
C19-L,2.8,7.28,16.3,1.857,2.470032258064516,6.417506925207756,14.405054945054946,1.8597600012101354,instrument,,7.64,,,,,unimodal_by_modecount,1,[7.64]
C19-M,1.51,4.5,12.9,2.537,1.3338509316770186,3.958529411764706,11.387500000000001,2.5397434305890587,instrument,,4.03,,,,,unimodal_by_modecount,1,[4.03]
C19-S,1.26,2.64,5.66,1.666,1.1099869109947642,2.3306093189964154,4.991864406779659,1.665606270490874,instrument,,2.42,,,,,unimodal_by_modecount,1,[2.42]
C21-L,2.53,6.45,14.8,1.895,2.2308375634517765,5.694852507374631,12.993684210526311,1.8899254428691579,instrument,,6.72,,,,,unimodal_by_modecount,1,[6.72]
C21-M,2.3,6.12,15.6,2.183,2.029755501222494,5.39580589254766,13.81818181818181,2.1847387677975463,instrument,,7.64,,,,,unimodal_by_modecount,1,[7.64]
C21-S,1.93,3.61,9.09,1.982,1.7024098360655737,3.1804923798358735,8.028737864077668,1.9891033439100894,instrument,,2.75,,,,,unimodal_by_modecount,1,[2.75]
C24-L,0.848,2.05,5.21,2.124,0.7473558718861211,1.8143319268635723,4.586774193548391,2.1161609211713843,instrument,,1.88,,,,,unimodal_by_modecount,1,[1.88]
C24-M,0.805,1.82,4.85,2.226,0.709300578034682,1.6003267973856208,4.274208494208489,2.2276124614032775,instrument,,1.45,,,,,unimodal_by_modecount,1,[1.45]
C24-S,0.881,1.73,3.35,1.429,0.7750601659751037,1.5229559748427672,2.952655601659751,1.429847921841251,instrument,,1.65,,,,,unimodal_by_modecount,1,[1.65]
C25-L,1.18,2.98,6.08,1.642,1.047071186440678,2.6264615384615384,5.357982261640798,1.641337979662651,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C25-M,1.22,2.89,5.79,1.585,1.0751315789473683,2.5459634146341465,5.104609665427512,1.582692847555776,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C25-S,1.17,2.55,4.97,1.494,1.0294078947368421,2.244473684210526,4.376874999999998,1.491426310235666,instrument,,2.75,,,,,unimodal_by_modecount,1,[2.75]
C26-L,1.69,4.37,10.0,1.902,1.490764331210191,3.854972375690608,8.829157303370787,1.9036175248456721,instrument,,4.58,,,,,unimodal_by_modecount,1,[4.58]
C26-M,1.45,4.45,12.0,2.375,1.278888888888889,3.9190974729241885,10.603253333333342,2.379212180575643,instrument,,5.21,,,,,unimodal_by_modecount,1,[5.21]
C26-S,1.57,3.15,6.05,1.422,1.380073891625616,2.7757594936708863,5.3347980997624695,1.4247359027877484,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C27-L,1.06,2.71,5.7,1.712,0.9331879432624113,2.388606224627875,5.028366935483872,1.714463836691816,instrument,,3.12,,,,,unimodal_by_modecount,1,[3.12]
C27-M,0.705,1.57,3.53,1.798,0.6217297297297297,1.3844110576923074,3.104353233830846,1.7932704960038626,instrument,,1.45,,,,,unimodal_by_modecount,1,[1.45]
C27-S,0.858,1.67,3.21,1.409,0.7557555555555556,1.4660990712074302,2.826403712296985,1.4123521373191463,instrument,,1.65,,,,,unimodal_by_modecount,1,[1.65]
