sample_id,delta_bic,separation,w_small,n_density_peaks,density_bimodal,condition_id,precursor
C21-L,-15.898279750464667,1.7408078275492147,0.37375472253552144,1,False,C21,L
C21-M,-11.032103022778642,1.9919881364829046,0.4280624613651209,1,False,C21,M
C21-S,79.18709024028408,2.420850752072552,0.39892381340710076,1,False,C21,S
C22-L,-8.737780705346239,2.089664564945074,0.3938319382205141,1,False,C22,L
C22-M,6.566252655783728,2.6430459815944674,0.2315695351219159,1,False,C22,M
C22-S,39.613273204591906,2.140465140417856,0.44346133278719096,1,False,C22,S
C23-L,-3.745796828528171,2.173945681479667,0.4284718010854376,1,False,C23,L
C23-M,8.665070153627937,2.343909744604941,0.3545827344086685,1,False,C23,M
C23-S,26.488756763792026,2.273924262752669,0.4234813349489103,1,False,C23,S
C24-L,-8.665492702754989,2.0892683928664115,0.3416550776950924,1,False,C24,L
C24-M,-9.973082811229972,1.7457244276344484,0.46523911928132405,1,False,C24,M
C24-S,19.886367075268936,2.054189417750216,0.45203457302309485,1,False,C24,S
C25-L,-7.157675714665459,2.167666117532741,0.4326570939205144,1,False,C25,L
C25-M,18.671519321408482,2.527957559016884,0.43338759834038865,2,True,C25,M
C25-S,50.21954482428464,2.259352295316365,0.4514893532355427,1,False,C25,S
C26-L,3.8344439699697546,2.265750467808452,0.39220002501244006,1,False,C26,L
C26-M,13.545622264135119,2.4713968834434428,0.3577662680741101,1,False,C26,M
C26-S,40.8225018021119,2.1953478213132365,0.42117745613369995,1,False,C26,S
C27-L,1.4121652585212985,2.6165576802413817,0.36297823245502847,2,True,C27,L
C27-M,5.117467163414403,2.2900475869769497,0.33262250527832304,1,False,C27,M
C27-S,20.910257298964552,2.162434630009709,0.47249166019866057,2,True,C27,S
