sample_id,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol,BIC1,BIC2,dBIC,mode1_um,mode2_um,w1_num,w2_num,w1_vol,w2_vol,separation,n_local_maxima,density_bimodal,condition_id,precursor,Theta,T_C,beta,t_hold
C19-L,318,6.883819231505616,11.748260080143046,18.008767993930476,0.9469443718928466,10.924629402547039,15.973899376328431,22.851427122445507,0.7466428477427794,54,192,246.0206717286366,257.05225490020837,11.031583171571782,8.243584700694537,13.725059697228787,0.3514898744049929,0.648510125595007,0.1069553829147688,0.8930446170852312,2.018124793886319,1,False,C19,L,24.21446407057823,950.0,2.0,10.0
C26-L,379,6.437251621742798,11.118000797783498,15.98412819515483,0.8586864443574524,9.963448437200203,14.609392201976524,19.218272075762872,0.6334845085006734,73,231,278.9435292825044,278.6974485876724,-0.2460806948320169,7.9320831115308055,13.207313405501727,0.41344165015102946,0.5865583498489705,0.14430927971651228,0.8556907202834877,2.129423226736957,1,False,C26,L,34.956637178623296,950.0,8.0,15.0
C23-L,264,6.5443802255609205,12.38745550659368,19.37104957254144,1.0354563405013284,11.644515305811904,17.81023496643166,24.970598829848694,0.748226149130177,43,147,277.39439509956094,280.9420578298039,3.547662730242962,8.296348007110375,15.230396073231471,0.3968644110794814,0.6031355889205188,0.10366832416345755,0.8963316758365425,2.23156815619061,1,False,C23,L,35.12044424989258,950.0,5.0,15.0
C20-L,364,6.602224316784184,11.321707794738913,16.38817169826352,0.8643525834527164,10.181819906155596,14.787574179428404,22.34996312343283,0.8228627001043101,66,223,272.41143161835816,279.46937576820096,7.057944149842797,8.0834421528929,13.118817873375331,0.37266548392063203,0.627334516079368,0.13232184871402253,0.8676781512859775,1.8621972929843544,1,False,C20,L,35.77567253496972,950.0,2.0,15.0
C27-L,355,6.9530738230521045,11.440248253756383,16.644119568981992,0.8471010008675163,10.2916525971672,14.658812160269886,21.113923263467296,0.7382774639565916,64,215,240.26351253469096,236.22335527576456,-4.040157258926399,7.527492486423236,13.119022491292206,0.3272474869861936,0.6727525130138065,0.0773830632672402,0.9226169367327598,2.7770718369594776,2,True,C27,L,46.5178456430148,950.0,8.0,20.0
C24-L,383,6.650160789408495,10.879830518792456,16.320532729966505,0.8888347960801982,9.9901050087719,14.536204814955465,20.8718248903009,0.7485942871645166,69,237,266.1271720445383,275.2237065970448,9.096534552506455,7.561405155857157,12.534893970347404,0.31692050796067045,0.6830794920393295,0.09194488315286922,0.9080551168471308,2.0957548659008443,1,False,C24,L,46.68165271428408,950.0,5.0,20.0
C21-L,302,6.916902529044816,11.69409538371511,18.119881992313218,0.9580030858025476,10.832860100627071,15.980621029870695,23.377209313208322,0.7849725732894595,50,183,232.01432744496827,247.48618245330368,15.47185500833541,8.603381704396675,13.665094243101672,0.3682749176206281,0.6317250823793719,0.13049582997623926,0.8695041700237608,1.716547875414378,1,False,C21,L,47.33688099936123,950.0,2.0,20.0
C07-M,427,5.251561415525799,9.833172104450387,15.174184638887326,1.00909687311083,9.150779716170337,13.945432384573985,18.100793608912063,0.6417881960147725,76,240,447.7466679929759,429.3178916163057,-18.428776376670214,6.436396844506292,12.082910198355654,0.40499035466827005,0.59500964533173,0.10597703604899456,0.8940229639510054,2.383759891819163,1,False,C07,M,4.054026098945026,850.0,8.0,10.0
C04-M,458,4.8779948418979755,9.387252839225006,14.93928873883227,1.0718038673564625,8.808042172317101,13.383730919357522,18.026098646462213,0.6887508819243072,76,252,475.8852522884112,461.6999122260115,-14.185340062399689,6.185868268529219,11.651369429005948,0.4172178747152578,0.5827821252847422,0.1032628380929811,0.8967371619070189,2.4838552715449,2,True,C04,M,4.078166000601167,850.0,5.0,10.0
C01-M,488,4.905275310774456,8.82963936576649,13.774088392322314,1.0044366156032656,8.077354128660936,12.646231860284242,16.15026187822265,0.6383646795939945,86,268,487.80163213959406,455.48137706900866,-32.320255070585404,6.0204233338027855,11.386488428453582,0.4704067325437805,0.5295932674562195,0.1263534481735094,0.8736465518264906,2.7280266751526208,2,True,C01,M,4.174725607225732,850.0,2.0,10.0
C08-M,580,4.305615145589724,8.164666161633217,13.444278983040826,1.1192942438228302,7.83563099540424,12.387906362805124,17.411720561757033,0.7730192080806443,92,313,631.0963539712207,618.2104861867094,-12.88586778451122,5.857313390110139,10.881003526768446,0.480599942858073,0.519400057141927,0.14101620989009786,0.8589837901099021,2.2637468491484904,1,False,C08,M,6.060922563704088,850.0,8.0,15.0
C05-M,429,5.450298430168773,9.823458731544735,15.260136193136088,0.9986134243600292,9.25437327420947,13.586852801788172,18.288662907055834,0.6649287929031921,77,247,405.4845194615236,395.49064907894854,-9.99387038257504,6.69521790455214,12.114548374792726,0.40474575238701155,0.5952542476129884,0.11214273453117672,0.8878572654688234,2.3483218136408275,1,False,C05,M,6.085062465360228,850.0,5.0,15.0
C02-M,413,5.9753608613741855,9.621051611073112,15.110463055325235,0.9494910289678967,8.818202628564604,13.675193618641995,17.79501422671748,0.6564303108597823,76,243,326.16058468530355,320.2776070380401,-5.882977647263431,7.3913563823809305,12.831049529495127,0.5189496127485719,0.48105038725142807,0.18300710801452233,0.8169928919854776,2.49232197552916,2,True,C02,M,6.181622071984794,850.0,2.0,15.0
C09-M,390,6.329340528199906,9.974204783814873,14.359912469172915,0.8051340547974516,8.807514458131033,13.111690785492286,16.3999424074678,0.5790578860918207,86,248,237.67076297134207,228.90994981256443,-8.760813158777637,7.763554661407336,12.478505942868402,0.507907359489187,0.49209264051081303,0.2261959893108721,0.773804010689128,2.168915517678665,1,False,C09,M,8.06781902846315,850.0,8.0,20.0
C06-M,410,5.734673045773384,10.17897059078452,15.388567657295711,0.9484156109324485,9.074210770390096,13.913928169512848,18.174740625599156,0.6540589935737527,79,235,359.81159056338,331.25710776172167,-28.55448280165831,7.199691660311627,13.123655708589084,0.48819392985968524,0.5118060701403147,0.15030547426394028,0.8496945257360596,2.7696962280842197,2,True,C06,M,8.091958930119292,850.0,5.0,20.0
C03-M,386,6.271904732589306,10.272101264538795,14.302317834722086,0.781769269531567,9.012161320660756,12.807597994909768,16.27391128916649,0.5669876561859479,87,246,209.73719091692297,194.45572444934547,-15.281466467577502,7.512823370903676,12.220336553157354,0.4401904287486277,0.5598095712513722,0.16774101239922615,0.8322589876007738,2.410538833026592,2,True,C03,M,8.188518536743857,850.0,2.0,20.0
C16-M,373,6.441187063174029,10.614063376703506,15.792316487180141,0.8810131513375575,9.817090894541055,14.534708812884181,20.072872802707256,0.705606286317552,66,223,304.55576361363694,311.06813127227576,6.512367658638823,7.341330205692088,12.522621418648008,0.3579941232360444,0.6420058767639556,0.1046610109120494,0.8953389890879506,2.110178672806158,1,False,C16,M,10.108991714280393,900.0,8.0,10.0
C13-M,339,6.625819770535936,11.056443535622494,15.953307619843278,0.843624608514965,9.746319308068905,14.410569289915586,20.501901027616853,0.7463675794595171,65,207,235.57644971751512,240.78092087561492,5.204471158099807,8.063009573707172,13.309325014121306,0.43546789280680503,0.564532107193195,0.15374400938126867,0.8462559906187314,2.1889624323205,1,False,C13,M,10.174386742848624,900.0,5.0,10.0
C10-M,370,5.833459368372237,10.769934351879687,16.048937517567836,0.9485181446266366,9.779716996202936,14.467308354235643,18.64935674469967,0.6130815443565174,69,216,342.6580381134202,332.98982109182657,-9.668217021593648,7.26787623096264,12.871351052073269,0.40830569881808526,0.5916943011819147,0.1276701750760653,0.8723298249239347,2.198394832490293,1,False,C10,M,10.435966857121558,900.0,2.0,10.0
C17-M,323,6.322313500193174,11.80887079018079,17.512685386233755,0.947624212752459,10.60253125563598,15.466146401787736,20.774999497241037,0.6577248124606668,61,191,282.5854133772281,276.95339999430445,-5.632013382923674,7.905667623917814,13.990444381843158,0.3873183894233487,0.6126816105766514,0.11187504316468888,0.8881249568353112,2.317304539889293,1,False,C17,M,15.10899171428039,900.0,8.0,15.0
C14-M,480,5.200541686453833,9.23382817233529,14.685595296866994,1.0272070731000331,8.692451895679874,13.477316993269662,18.54338634134688,0.7309269679259153,79,269,472.7619847961158,470.96901339801303,-1.792971398102793,6.473320045337972,11.593593958736278,0.4297201094569032,0.5702798905430968,0.12349102179806395,0.876508978201936,2.1919646224131224,1,False,C14,M,15.174386742848624,900.0,5.0,15.0
C11-M,474,4.864983363154187,9.240701138059732,14.639656629765943,1.0577848066477067,8.603114125587249,13.634077070563489,18.180533157795878,0.7024618522134259,78,251,530.3696767664553,510.271161758191,-20.098515008264314,6.228352230738425,12.025652785547742,0.4785266813813719,0.5214733186186281,0.1262156443870937,0.8737843556129062,2.5374138636043093,2,True,C11,M,15.435966857121558,900.0,2.0,15.0
