sample_id,D_f,solidity,elongation,roughness,n_particles,precursor,Theta,T_C,compaction_density,circularity
C13-M,1.0605160333227168,0.7528672856362644,0.3751283378977138,1.36088997909129,325,M,10.174386742848624,900.0,3.34,0.3286829153153
C13-S,1.0564455578344671,0.7645951035781544,0.4390294184561756,1.1732304144223882,763,S,10.174386742848624,900.0,3.12,0.6655288099050644
C14-L,1.0579196454715616,0.7892428054777708,0.36490394701963214,1.2561743937225722,448,L,15.174386742848624,900.0,3.37,0.4369683142439774
C14-M,1.0649690286817644,0.718944099378882,0.4092200952930042,1.3635672937967962,415,M,15.174386742848624,900.0,3.285,0.3315985604989327
C14-S,1.058242957258456,0.7632337871468307,0.41919155873840874,1.1814672408024536,698,S,15.174386742848624,900.0,3.055,0.7057355863466722
C15-L,1.0527565726699313,0.8208041958041958,0.3415700965191244,1.196718374801894,425,L,20.174386742848625,900.0,3.33,0.4914376250034461
C15-M,1.0583984962160837,0.7439308658820853,0.38274492496665613,1.319816104473214,320,M,20.174386742848625,900.0,3.36,0.3455167014478714
C15-S,1.0570550618730998,0.7607244995233555,0.4396189561152079,1.1890268827172414,741,S,20.174386742848625,900.0,3.08,0.6524774587444
C16-L,1.0536426465307354,0.825542570951586,0.3427921540266373,1.2175834280199884,399,L,10.108991714280393,900.0,3.37,0.4878245707869858
C16-M,1.0585240472450794,0.7574766355140187,0.3648750915453715,1.3504833928685314,341,M,10.108991714280393,900.0,3.4,0.3359527396659331
C16-S,1.0592321305054826,0.7461447212336892,0.4418786664848175,1.218816798584749,763,S,10.108991714280393,900.0,3.13,0.6267739636594966
C17-L,1.0553886370489165,0.8188998174142283,0.3487215040354932,1.2074589650878977,372,L,15.10899171428039,900.0,3.3,0.4760156825352625
C17-M,1.0623973576090022,0.7376842105263158,0.3329221150271225,1.4115869030490067,295,M,15.10899171428039,900.0,3.29,0.3061840164067754
C17-S,1.0574061003869184,0.7560483870967742,0.4295461955214728,1.181090301517232,817,S,15.10899171428039,900.0,3.06,0.5962876238629882
C18-L,1.0557332586511996,0.8008097217442989,0.3472921921937961,1.251422341377832,342,L,20.10899171428039,900.0,3.32,0.420479334399403
C18-M,1.0610876580028294,0.7406969309462916,0.3741720243123377,1.3696206548867598,314,M,20.10899171428039,900.0,3.3,0.3340086534630376
C18-S,1.0584562763080445,0.75302263035472,0.4218796657218292,1.2035879850819429,842,S,20.10899171428039,900.0,3.04,0.5605387046412269
C19-L,1.0572742887953703,0.783910847988856,0.356058271432016,1.3176560717342831,297,L,24.21446407057823,950.0,3.37,0.37471958032132
C19-M,1.0590782537034502,0.7381626871711857,0.3595878758324253,1.3749981640852178,295,M,24.21446407057823,950.0,3.34,0.3090964011521875
C19-S,1.0562704051702643,0.7390890269151138,0.43730953737410255,1.2145806184172296,844,S,24.21446407057823,950.0,3.16,0.5309043651906313
