sample_id,precursor,Theta,Lbar_um,Lbar_sd,n_img,cv
C15-S,S,20.174386742848625,0.6445710618454594,0.0713706827295604,3,0.1107258562387525
C16-L,L,10.108991714280393,0.4629365446562408,0.0636832259804891,3,0.1375636179852207
C16-M,M,10.108991714280393,0.5008822533154519,0.0084840825295788,3,0.0169382773564462
C16-S,S,10.108991714280393,0.6415353738135486,0.0788135003872454,3,0.1228513712638256
C17-L,L,15.10899171428039,0.7506020595663604,0.1542238358902296,3,0.2054668434820551
C17-M,M,15.10899171428039,0.6187462028084603,0.0648214472427018,3,0.1047625778525674
C17-S,S,15.10899171428039,0.7353521397706345,0.0455929983940722,3,0.0620015852653848
C18-L,L,20.10899171428039,0.5246370409630587,0.0308558276200771,3,0.0588136658506539
C18-M,M,20.10899171428039,0.5661344161569866,0.0241220941646173,3,0.04260842209234
C18-S,S,20.10899171428039,0.7288834828346861,0.1105615126876205,3,0.1516861271950325
C19-L,L,24.21446407057823,0.8252976419887701,0.1519750408395012,3,0.1841457349536074
C19-M,M,24.21446407057823,1.0380948809159145,0.247471866832807,3,0.2383904124586973
C19-S,S,24.21446407057823,0.9507173070872256,0.0727669081022678,3,0.0765389538612782
C21-L,L,47.33688099936123,0.9967493458516646,0.0555384832064365,3,0.0557196083825689
C21-M,M,47.33688099936123,1.115278703088366,0.3683244715067821,3,0.3302532994549605
C21-S,S,47.33688099936123,0.8547103395633835,0.1759669261307398,3,0.2058790188739614
C24-L,L,46.68165271428408,0.5433789716938747,0.0356244546922387,3,0.0655609741046597
C24-M,M,46.68165271428408,0.6146380049895286,0.0559415102333767,3,0.0910153777983998
C24-S,S,46.68165271428408,0.5976030826183214,0.0163823365358187,3,0.0274134070126305
C25-L,L,23.39542871423181,0.4712431184660423,0.0502260446809936,3,0.1065820225544852
C25-M,M,23.39542871423181,0.4640684768196668,0.0072888428821082,3,0.0157063951683592
C25-S,S,23.39542871423181,0.6962568431041772,0.1214748386825665,3,0.1744684305593114
C26-L,L,34.956637178623296,1.665812301979411,0.7252354611095854,3,0.435364452674422
C26-M,M,34.956637178623296,0.9284262157036594,0.157013719542523,3,0.1691181451867141
C26-S,S,34.956637178623296,1.0507353580006669,0.1401643395088156,3,0.1333964241724191
C27-L,L,46.5178456430148,0.5459214734082022,0.0171922548348236,3,0.0314921754725858
C27-M,M,46.5178456430148,0.487771129904141,0.0455703780845523,3,0.0934257386112787
C27-S,S,46.5178456430148,0.7492368166924946,0.0285802931930954,3,0.0381458739831594
C02-L,L,6.181622071984794,0.4601047838324262,0.0302953005032696,3,0.0658443501737278
C02-M,M,6.181622071984794,0.4043155944306413,0.0084643833261139,3,0.0209350899216082
C02-S,S,6.181622071984794,0.6220557859305664,0.1421965116453918,3,0.2285912531665829
C05-L,L,6.085062465360228,0.4265341523742112,0.0133900033221602,3,0.0313925702024742
C05-M,M,6.085062465360228,0.4894843643833392,0.0373723764924311,3,0.076350501081916
C05-S,S,6.085062465360228,0.6267154550600561,0.0147052290189858,3,0.0234639642285136
C06-L,L,8.091958930119292,0.4061868874845798,0.0480121128711181,3,0.1182020255957692
C06-M,M,8.091958930119292,0.403009276207654,0.021456951318279,3,0.0532418298660281
C06-S,S,8.091958930119292,0.6547125376514127,0.0380112125253559,3,0.0580578656118453
C08-L,L,6.060922563704088,0.4389437362880903,0.0136494062876933,3,0.0310960270287006
C08-M,M,6.060922563704088,0.5103327911972665,0.0103503325746407,3,0.0202815354082152
C08-S,S,6.060922563704088,0.591673272178164,0.0689571395937549,3,0.1165459770388118
C10-L,L,10.435966857121558,0.4621131806312302,0.0175607334860486,3,0.0380009361820438
C10-M,M,10.435966857121558,0.485989312160811,0.03321674807466,3,0.0683487213473304
C10-S,S,10.435966857121558,0.5813985529594238,0.0491870143128464,3,0.0846011983732599
C11-L,L,15.435966857121558,0.4900697027652732,0.069106007656394,3,0.141012609566467
C11-M,M,15.435966857121558,0.5644696160713677,0.1674677095979305,3,0.29668153046657
C11-S,S,15.435966857121558,0.668466557842773,0.0887204154772626,3,0.132722294685279
C13-L,L,10.174386742848624,0.5389812987006256,0.057587558021416,3,0.1068451876906452
C13-M,M,10.174386742848624,0.4730640920386915,0.0113640215245344,3,0.0240221604551736
C13-S,S,10.174386742848624,0.7052296057894155,0.1237838357151579,3,0.1755227442225678
