sample_id,precursor,r2
C01-M,M,0.8985875405523748
C01-M,M,0.7561832584590401
C01-M,M,0.8137044886760618
C01-M,M,0.768836896909639
C01-M,M,0.9874295236628672
C01-M,M,0.8541614450210995
C01-M,M,0.8959276150136043
C01-M,M,0.882655436751077
C01-M,M,0.7721666809232954
C01-M,M,0.9115039375530593
C01-M,M,0.8799405684678823
C01-M,M,0.8672838853175221
C01-M,M,0.9287068301342364
C01-M,M,0.8967505295130058
C01-M,M,0.7879638883384485
C01-M,M,0.8552991175150733
C01-M,M,0.9390354942333496
C01-M,M,0.8787437541685037
C01-M,M,0.7591636040011787
C01-M,M,0.8285325947573629
C01-M,M,0.9011428675950156
C01-M,M,0.9385075418435656
C01-M,M,0.9499113274461152
C01-M,M,0.7089599560703994
C01-M,M,0.7521060332983036
C01-M,M,0.786468376674561
C01-M,M,0.8339114632072044
C01-M,M,0.8410726465462031
C01-M,M,0.9199208474606382
C01-M,M,0.8980353862275163
C01-M,M,0.947126143459158
C01-M,M,0.924120332000893
C01-M,M,0.7501232885758027
C01-M,M,0.9159216972441688
C01-M,M,0.9584865536574894
C01-M,M,0.9013959158926258
C01-M,M,0.9122439366687154
C01-M,M,0.9377938392804084
C01-M,M,0.7762440691176704
C01-M,M,0.8785304273014375
C01-M,M,0.6740735758288394
C01-M,M,0.8216653691104429
C01-M,M,0.8275282006922992
C01-M,M,0.812001068658647
C01-M,M,0.8179575159402926
C01-M,M,0.8903130833319562
C01-M,M,0.8214926110829575
C01-M,M,0.4624650801888327
C01-M,M,0.9169260501344352
C01-M,M,0.7017763557851473
C01-M,M,0.900795011301728
C01-M,M,0.8646721886001036
C01-M,M,0.8709970212034993
C01-M,M,0.9044656064949874
C01-M,M,0.952058391093826
C01-M,M,0.8982717212980016
C01-M,M,0.8854249335044788
C01-M,M,0.8031759690624011
C01-M,M,0.7880142867153175
C01-M,M,0.9086360609570588
C01-M,M,0.6858819790085222
C01-M,M,0.921285159030134
C01-M,M,0.954129348604822
C01-M,M,0.9071348476466644
C01-M,M,0.8972077625587478
C01-M,M,0.9496944806728136
C01-M,M,0.8558679245688715
C01-M,M,0.8662936265647041
C01-M,M,0.8289505967934787
C01-M,M,0.7289567522991142
C01-M,M,0.9274282814004046
C01-M,M,0.817128004854337
C01-M,M,0.8683495327318338
C01-M,M,0.882419231979103
C01-M,M,0.894763140880507
C01-M,M,0.750607882799162
C01-M,M,0.8874103253856999
C01-M,M,0.7996545546027596
C01-M,M,0.9135227795394534
C01-M,M,0.8096471060518202
C01-M,M,0.9424674914663296
C01-M,M,0.8272827114875632
C01-M,M,0.7385769580958732
C01-M,M,0.755799041604189
C01-M,M,0.9379368289639471
C01-M,M,0.9109092898561678
C01-M,M,0.9598863164313632
C01-M,M,0.9556734826859126
C01-M,M,0.8969657060325055
C01-M,M,0.9583181961112518
C01-M,M,0.8282887823547749
C01-M,M,0.9294557303827627
C01-M,M,0.8701631198666483
C01-M,M,0.8724767301082667
C01-M,M,0.7688635993274946
C01-M,M,0.8462350305942554
C01-M,M,0.9549280427182328
C01-M,M,0.9132470248907606
C01-M,M,0.773399901641344
C01-M,M,0.8240340156906577
C01-M,M,0.9154043963720062
C01-M,M,0.9065827207028784
C01-M,M,0.5509814505090418
C01-M,M,0.6608448087129679
C01-M,M,0.9260036333876008
C01-M,M,0.9675477058383282
C01-M,M,0.8988565310747063
C01-M,M,0.9140551159961972
C01-M,M,0.8046164370815213
C01-M,M,0.8606058596569869
C01-M,M,0.9051106917960589
C01-M,M,0.9484870164651954
C01-M,M,0.8948082123402799
C01-M,M,0.8587433851262887
C01-M,M,0.8768447411118995
C01-M,M,0.8054019433322298
C01-M,M,0.8117471177681369
C01-M,M,0.872700265956856
C01-M,M,0.7927837318997428
C01-M,M,0.906845782398321
C01-M,M,0.8946307828035788
C01-M,M,0.9373705783751888
C01-M,M,0.9095201700239856
C01-M,M,0.9520307442396198
C01-M,M,0.872976191239919
C01-M,M,0.891300912200959
C01-M,M,0.8549615646085033
C01-M,M,0.9796932657633892
C01-M,M,0.6706916839166999
C01-M,M,0.8446897180771037
C01-M,M,0.8587506352521483
C01-M,M,0.8522069172012472
C01-M,M,0.8219474972772656
C01-M,M,0.7785985558360969
C01-M,M,0.933585064847404
C01-M,M,0.816247241774825
C01-M,M,0.7964209827340248
C01-M,M,0.778717237830451
C01-M,M,0.8757666984809112
C01-M,M,0.910269963363063
C01-M,M,0.8748166477199273
C01-M,M,0.8975004800545479
C01-M,M,0.9399960228155096
C01-M,M,0.8954746503655443
C01-M,M,0.9141997105885478
C01-M,M,0.8385405286182533
C01-M,M,0.8322745020854752
C01-M,M,0.720299742396083
C01-M,M,0.9162928424218076
C01-M,M,0.944850500621614
C01-M,M,0.8445596896743263
C01-M,M,0.8973844873503726
C01-M,M,0.9363619855569908
C01-M,M,0.7515311936485989
C01-M,M,0.8968663194849423
C01-M,M,0.8183676594685958
C01-M,M,0.8845151460747236
C01-M,M,0.9515829191026532
C01-M,M,0.9427195778256576
C01-M,M,0.6033124758738039
C01-M,M,0.7751616626837087
C01-M,M,0.9466661923671342
C01-M,M,0.8589141324095766
C01-M,M,0.8515255274157607
C01-M,M,0.7676091556761964
C01-M,M,0.8120557047104281
C01-M,M,0.8830925599207855
C01-M,M,0.7983081946211291
C01-M,M,0.8733714815347424
C01-M,M,0.8928314068016432
C01-M,M,0.8604708638841192
C01-M,M,0.9258881160024957
C01-M,M,0.8926365413934025
C01-M,M,0.901925575702876
C01-M,M,0.8630560629662005
C01-M,M,0.9062169090004027
C01-M,M,0.8835177090060921
C01-M,M,0.8716910831106659
C01-M,M,0.946666256975055
C01-M,M,0.7671769437502728
C01-M,M,0.8269302079166267
C01-M,M,0.8656133465526499
C01-M,M,0.8457218310135319
C01-M,M,0.9178562702780432
C01-M,M,0.9128279593906578
C01-M,M,0.7334006411923882
C01-M,M,0.8464145278744512
C01-M,M,0.9141008015822474
C01-M,M,0.8616173229032739
C01-M,M,0.9214492713728408
C01-M,M,0.9251361433151294
C01-M,M,0.8886282745517498
C01-M,M,0.8969072767837938
C01-M,M,0.857601000083988
C01-M,M,0.9362829763316892
C01-M,M,0.8301015692978441
C01-M,M,0.8911150160398913
C01-M,M,0.959778891180694
C01-M,M,0.9190898748461592
C01-M,M,0.885523931185341
C01-M,M,0.9392992162203616
C01-M,M,0.957643350745948
C01-M,M,0.9012473148351076
C01-M,M,0.7303040034439383
C01-M,M,0.9115575215570342
C01-M,M,0.908163872542953
C01-M,M,0.8266216895631744
C01-M,M,0.7302168572710996
C01-M,M,0.8795938557921837
C01-M,M,0.7657496794691867
C01-M,M,0.9515849512085705
C01-M,M,0.8213422162418571
C01-M,M,0.9123689621414502
C01-M,M,0.8737285608827057
C01-M,M,0.8392628260157258
C01-M,M,0.9228741759893024
C01-M,M,0.8914583571181647
C01-M,M,0.7961320814664642
C01-M,M,0.8638983117049968
C01-M,M,0.9640656595530088
C01-M,M,0.9312761341251936
C01-M,M,0.6964752557899045
C01-M,M,0.6560870358271117
C01-M,M,0.8757947979478036
C01-M,M,0.8959012448625033
C01-M,M,0.9454923146174784
C01-M,M,0.8634691225952805
C01-M,M,0.9624031625280244
C01-M,M,0.9274312375902104
C01-M,M,0.8751733533426376
C01-M,M,0.8727949422904749
C01-M,M,0.9265297685817152
C01-M,M,0.8779556147047477
C01-M,M,0.7445041029058339
C01-M,M,0.912664795915957
C01-M,M,0.8535483680014213
C01-M,M,0.9307826615038808
C01-M,M,0.909765941447102
C01-M,M,0.8326816271077702
C01-M,M,0.7845068121372615
C01-M,M,0.8317364889760995
C01-M,M,0.8468281354673659
C01-M,M,0.9590899572867788
C01-M,M,0.8492123421944902
C01-M,M,0.952175595810008
C01-M,M,0.9045603129113368
C01-M,M,0.9543890012926268
C01-M,M,0.8319923208761728
C01-M,M,0.8066235381921733
C01-M,M,0.7709566713882492
C01-M,M,0.8648119711919138
C01-M,M,0.8441298323434601
C01-M,M,0.9022687255902432
C01-M,M,0.9566848695060696
C01-M,M,0.8794607073177062
C01-M,M,0.8596113695359294
C01-M,M,0.9425832965773028
C01-M,M,0.8756937604634546
C01-M,M,0.7855631395477259
C01-M,M,0.91207009621735
C01-M,M,0.9327006789451888
C01-M,M,0.8850829784601533
C01-M,M,0.8734248784495624
C01-M,M,0.7911774314463922
C01-M,M,0.734339153285067
C01-M,M,0.7992013255938484
C01-M,M,0.985808821084068
C01-M,M,0.9164645304768596
C01-M,M,0.9486696279354212
C01-M,M,0.8088648946422908
C01-M,M,0.8591258053877747
C01-M,M,0.8548603100669385
C01-M,M,0.9143068029431692
C01-M,M,0.7665664129397997
