sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C14-M,104,M,0.9350962594155868,0.0001845778558973,False
C14-M,15,M,0.923876187547723,0.0047859342387539,False
C14-M,107,M,0.8933143433250318,0.0009674096773153,False
C14-M,18,M,0.8736697201272612,-0.001955483384961,False
C14-M,110,M,0.8566011973435457,-0.0035828200528413,False
C14-M,113,M,0.8443186437958868,0.0024414892911153,False
C14-L,3,L,0.9896193734276232,-0.006732418385436,True
C14-L,6,L,0.9575398829802916,0.0023805429823227,True
C14-L,101,L,0.9535176904117114,0.0022125241523056,False
C14-L,12,L,0.9498764276609808,-0.00057597058953,False
C14-L,104,L,0.9351323263053188,0.0007451254126493,False
C14-L,15,L,0.923933168199249,-0.0032460991892335,False
C14-L,107,L,0.8933220383311633,0.0010493041089034,False
C14-L,18,L,0.8736557802062274,-0.0003473443890413,False
C14-L,110,L,0.8567194238511414,0.0004922400006108,False
C14-L,113,L,0.8444605254341416,-0.0003633453085711,False
C15-S,3,S,0.9896225509379786,-0.0050001961164092,True
C15-S,6,S,0.9575489919952076,0.0027748721618792,True
C15-S,101,S,0.953501129553406,0.0013699678450862,False
C15-S,12,S,0.9498596103578032,-0.0012127008545235,False
C15-S,104,S,0.9351237069506694,-0.0022345867838069,False
C15-S,15,S,0.9239050431881832,-4.2657886211827645e-05,False
C15-S,107,S,0.8932979079915098,0.0029169282383136,False
C15-S,18,S,0.873648208238074,-0.0024941230562447,False
C15-S,110,S,0.8566404297848819,-0.0001706984686933,False
C15-S,113,S,0.8443729108405695,0.0006152224563038,False
C15-M,3,M,0.9896292844217488,-0.0093400289599117,True
C15-M,6,M,0.9575716010692402,5.053301324409176e-05,True
C15-M,101,M,0.9534896259346832,0.0041324785193666,False
C15-M,12,M,0.9498508798155916,0.0010877371062747,False
C15-M,104,M,0.9351159833213084,0.0018731182871292,False
C15-M,15,M,0.9239393613121236,-0.0070743042274514,False
C15-M,107,M,0.8933259062679527,0.0028284102246587,False
C15-M,18,M,0.8736737446466811,0.0006830949920271,False
C15-M,110,M,0.8566290191999144,0.0023806871034466,False
C15-M,113,M,0.8443972169083693,-0.0031074461272879,False
C15-L,3,L,0.989620156905455,-0.0099830949049319,True
C15-L,6,L,0.9575536955361874,-0.0017307613575638,True
C15-L,101,L,0.9534803283044792,0.0037222798017566,False
C15-L,12,L,0.9498401292144912,0.0008367880873834,False
C15-L,104,L,0.9351015685716328,0.0015272700201123,False
C15-L,15,L,0.923907550497848,-0.0030481030281137,False
C15-L,107,L,0.8932984510563672,0.0032787761444694,False
C15-L,18,L,0.8736488605046475,-0.0005439350498619,False
C15-L,110,L,0.85663850137259,-0.0006520995074978,False
C15-L,113,L,0.8443796963312937,-0.0007152412557616,False
C16-S,3,S,0.9895996134526722,-0.0128492610916772,True
C16-S,6,S,0.9574421693526252,0.0108337362754227,True
C16-S,101,S,0.95351686147038,-0.0002617489248208,False
C16-S,12,S,0.94987543523328,-0.0046376780040588,False
C16-S,104,S,0.9351348791906874,-0.0100618383580552,False
C16-S,15,S,0.9238455593474462,0.0095459225402123,False
C16-S,107,S,0.8932344710033419,0.0023194734841283,False
C16-S,18,S,0.8735714947217779,-0.0056171421153123,False
C16-S,110,S,0.8567399839119956,0.0045848234701111,False
C16-S,113,S,0.8444961732438888,-0.0023647660908352,False
C16-M,3,M,0.9896181588089448,-0.0164736009077302,True
C16-M,6,M,0.9574842318656094,0.0088601860354913,True
